序號,會計編碼,日期,傳票編號,摘要,借方金額,貸方金額,發票號碼,收據,銷售人統編
46,1113,1070314,WF20180314005,透過損益按公允價值衡量之金融資產,,49210 ,,5,
47,6114,1070315,WF20180315001,加油,110 ,,BL29116560,3,
48,6123,1070315,WF20180315001,稅捐,5 ,,BL29116560,3,
49,1113,1070315,WF20180315001,加油,,111 ,BL29116560,3,
50,5124,1070315,WF20180315001,加油折讓,,4 ,BL29116560,3,
51,6134,1070315,WF20180315002,關務發票處理,44 ,,,7,
52,1113,1070315,WF20180315002,關務發票處理,,44 ,,7,
53,6134,1070315,WF20180315003,關務發票處理,3 ,,,7,
54,1113,1070315,WF20180315003,關務發票處理,,3 ,,7,
55,6134,1070315,WF20180315004,創辦人創建新業務出差使用雨具,124 ,,,7,
56,1113,1070315,WF20180315004,創辦人創建新業務出差使用雨具,,124 ,,7,
57,1121,1070315,WF20180315005,,10000 ,,,5,
58,7243,1070315,WF20180315005,透過損益按公允價值衡量之金融資產,20 ,,,5,
59,1113,1070315,WF20180315005,透過損益按公允價值衡量之金融資產,,10020 ,,5,
60,1121,1070315,WF20180315006,,15050 ,,,5,
61,7243,1070315,WF20180315006,透過損益按公允價值衡量之金融資產,21 ,,,5,
62,1113,1070315,WF20180315006,透過損益按公允價值衡量之金融資產,,15071 ,,5,
63,1113,1070314,WF20180314006,透過損益按公允價值衡量之金融資產,13041 ,,,5,
64,7243,1070314,WF20180314006,透過損益按公允價值衡量之金融資產,59 ,,,5,
65,7161,1070314,WF20180314006,透過損益按公允價值衡量之金融資產,,71 ,,5,
66,1121,1070314,WF20180314006,透過損益按公允價值衡量之金融資產,,13029 ,,5,
67,1121,1070316,WF20180316001,透過損益按公允價值衡量之金融資產,25900 ,,,5,
68,7243,1070316,WF20180316001,透過損益按公允價值衡量之金融資產,36 ,,,5,
69,1113,1070316,WF20180316001,透過損益按公允價值衡量之金融資產,,25936 ,,5,
70,1121,1070316,WF20180316002,透過損益按公允價值衡量之金融資產,13041 ,,,5,
71,7243,1070316,WF20180316002,透過損益按公允價值衡量之金融資產,59 ,,,5,
72,1113,1070316,WF20180316002,透過損益按公允價值衡量之金融資產,,13100 ,,5,
73,6114,1070317,WF20180317001,加油,77 ,,BP97792950,3,
74,6123,1070317,WF20180317001,稅捐,4 ,,BP97792950,3,
75,1113,1070317,WF20180317001,加油,,76 ,BP97792950,3,
76,5124,1070317,WF20180317001,加油折讓,,5 ,BP97792950,3,
77,6134,1070319,WF20180319001,郵資-計劃與營運,80 ,,,7,
78,1113,1070319,WF20180319001,郵資-計劃與營運,,80 ,,7,
79,1121,1070319,WF20180319002,透過損益按公允價值衡量之金融資產,25550 ,,,5,
80,7243,1070319,WF20180319002,透過損益按公允價值衡量之金融資產,36 ,,,5,
81,1113,1070319,WF20180319002,透過損益按公允價值衡量之金融資產,,25586 ,,5,
82,1121,1070319,WF20180319003,透過損益按公允價值衡量之金融資產,32850 ,,,5,
83,7243,1070319,WF20180319003,透過損益按公允價值衡量之金融資產,46 ,,,5,
84,1113,1070319,WF20180319003,透過損益按公允價值衡量之金融資產,,32896 ,,5,
85,1113,1070319,WF20180319004,透過損益按公允價值衡量之金融資產,13191 ,,,5,
86,7243,1070319,WF20180319004,透過損益按公允價值衡量之金融資產,59 ,,,5,
87,7161,1070319,WF20180319004,透過損益按公允價值衡量之金融資產,,271 ,,5,
88,1121,1070319,WF20180319004,透過損益按公允價值衡量之金融資產,,12979 ,,5,
89,1121,1070319,WF20180319005,透過損益按公允價值衡量之金融資產,39250 ,,,5,
90,7243,1070319,WF20180319005,透過損益按公允價值衡量之金融資產,55 ,,,5,
91,1113,1070319,WF20180319005,透過損益按公允價值衡量之金融資產,,39305 ,,5,
92,1121,1070320,WF20180320001,透過損益按公允價值衡量之金融資產,15768 ,,,5,
93,7243,1070320,WF20180320001,透過損益按公允價值衡量之金融資產,22 ,,,5,
94,1113,1070320,WF20180320001,透過損益按公允價值衡量之金融資產,,15790 ,,5,
95,1121,1070320,WF20180320002,透過損益按公允價值衡量之金融資產,19449 ,,,5,
96,7243,1070320,WF20180320002,透過損益按公允價值衡量之金融資產,27 ,,,5,
97,1113,1070320,WF20180320002,透過損益按公允價值衡量之金融資產,,19476 ,,5,
98,6134,1070321,WF20180321001,創業補貼息申請文件郵資,44 ,,,7,
99,1113,1070321,WF20180321001,創業補貼息申請文件郵資,,44 ,,7,
100,6114,1070322,WF20180322001,加油,143 ,,BL51531648,3,
101,6123,1070322,WF20180322001,稅捐,7 ,,BL51531648,3,
102,1113,1070322,WF20180322001,加油,,148 ,BL51531648,3,
103,5124,1070322,WF20180322001,加油折讓,,2 ,BL51531648,3,
104,6134,1070323,WF20180323001,停車費-因研發參展,19 ,,AZ40783611,3,
105,6123,1070323,WF20180323001,停車費-因研發參展,1 ,,AZ40783611,3,
106,1113,1070323,WF20180323001,停車費-因研發參展,,20 ,AZ40783611,3,
107,1531,1070324,WF20180324001,Office365 商務版,285 ,,AP11516952,3,
108,6123,1070324,WF20180324001,Office365 商務版,14 ,,AP11516952,3,
109,1113,1070324,WF20180324001,Office365 商務版,,299 ,AP11516952,3,
110,6114,1070325,WF20180325001,出差至台中談專案,476 ,,CC03191127,3,
111,6123,1070325,WF20180325001,出差至台中談專案,24 ,,CC03191127,3,
112,1113,1070325,WF20180325001,出差至台中談專案,,500 ,CC03191127,3,
114,6114,1070328,WF20180328001,因研發參南港展,19 ,,AZ40786678,3,
115,6123,1070328,WF20180328001,因研發參南港展,1 ,,AZ40786678,3,
116,1113,1070328,WF20180328001,因研發參南港展,,20 ,AZ40786678,3,
117,6111,1070331,WF20180331002,2個員工薪資,47950 ,,,2,
118,1281,1070331,WF20180331002,勞保、健保,2389 ,,,2,
119,6120,1070331,WF20180331002,勞保、健保、退休金,3659 ,,,2,
120,2171,1070331,WF20180331002,勞保、健保、退休金,,6048 ,,2,
121,2191,1070331,WF20180331002,2個員工薪資,,47950 ,,2,
122,6134,1070331,WF20180331003,計劃發送郵資,92 ,,,7,
123,1113,1070331,WF20180331003,計劃發送郵資,,92 ,,7,
124,3111,1070331,WF20180331004,傳真印表機,6900 ,,,2,
125,6134,1070331,WF20180331004,傳真印表機,,6900 ,,2,
126,1431,1070331,WF20180331005,傳真印表機,6743 ,,AN03109102,3,
127,6123,1070331,WF20180331005,傳真印表機,337 ,,AN03109102,3,
128,6162,1070331,WF20180331005,董事長贈送傳真印表機,,7080 ,AN03109102,3,
129,6114,1070402,WF20180402001,加油,125 ,,BL29116911,3,
130,6123,1070402,WF20180402001,稅捐,6 ,,BL29116911,3,
131,1113,1070402,WF20180402001,加油,,127 ,BL29116911,3,
132,5124,1070402,WF20180402001,加油折讓,,4 ,BL29116911,3,
133,6113,1070403,WF20180403001,馬尾夾及速乾打印補充,107 ,,AU85986986,3,
134,6123,1070403,WF20180403001,馬尾夾及速乾打印補充,5 ,,AU85986986,3,
135,1113,1070403,WF20180403001,馬尾夾及速乾打印補充,,112 ,AU85986986,3,
136,5152,1070403,WF20180403002,系統分析使用-保證金為個人歷史支出(一年),2000 ,,,1,
137,1113,1070403,WF20180403002,系統分析使用-保證金為個人歷史支出,,2000 ,,1,
138,6134,1070403,WF20180403003,關務文件送出掛號,36 ,,,7,
139,1113,1070403,WF20180403003,關務文件送出掛號,,36 ,,7,
140,2252,1070405,WF20180405001,勞保、健保,387 ,,,2,
141,6111,1070405,WF20180405001,本月員工薪水扺扣上月勞健保,,387 ,,2,
142,2171,1070405,WF20180405002,退休金、勞保、健保,6048 ,,,2,
143,2191,1070405,WF20180405002,一個員工,47563 ,,,2,
144,1281,1070405,WF20180405002,勞保、健保,,2389 ,,2,
145,1113,1070405,WF20180405002,薪資與保險費,,51056 ,,2,
146,2252,1070405,WF20180405002,勞保、健保,,166 ,,2,
147,5131,1070406,WF20180406001,購買設備零組件.細牙,33 ,,AP04238864,3,
148,6123,1070406,WF20180406001,購買設備零組件,2 ,,AP04238864,3,
149,1113,1070406,WF20180406001,購買設備零組件,,35 ,AP04238864,3,
150,6114,1070407,WF20180407001,加油,117 ,,BL29116987,3,
151,6123,1070407,WF20180407001,稅捐,6 ,,BL29116987,3,
152,1113,1070407,WF20180407001,加油,,119 ,BL29116987,3,
153,5124,1070407,WF20180407001,加油折讓,,4 ,BL29116987,3,
154,6134,1070410,WF20180410001,小牛皮紙袋改大的,3 ,,,7,
155,1113,1070410,WF20180410001,小牛皮紙袋改大的,,3 ,,7,
156,6134,1070411,WF20180411001,匯票購買-關務文件第二封,30 ,,,7,
157,1113,1070411,WF20180411001,匯票購買-關務文件第二封,,30 ,,7,
158,6113,1070411,WF20180411002,文具.L型文件.修正液補充,64 ,,AU85988444,3,
159,6123,1070411,WF20180411002,文具.L型文件.修正液補充,3 ,,AU85988444,3,
160,1113,1070411,WF20180411002,文具.L型文件.修正液補充,,67 ,AU85988444,3,
161,6134,1070411,WF20180411003,關務文件第二封掛號送件,53 ,,,7,
162,1113,1070411,WF20180411003,關務文件第二封掛號送件,,53 ,,7,
163,6114,1070413,WF20180413001,加油,110 ,,BL29117109,3,
164,6123,1070413,WF20180413001,稅捐,5 ,,BL29117109,3,
165,1113,1070413,WF20180413001,加油,,111 ,BL29117109,3,
166,5124,1070413,WF20180413001,加油折讓,,4 ,BL29117109,3,
167,6114,1070419,WF20180419001,加油,125 ,,BL29021700,3,
168,6123,1070419,WF20180419001,稅捐,4 ,,BL29021700,3,
169,1113,1070419,WF20180419001,加油,,123 ,BL29021700,3,
170,5124,1070419,WF20180419001,加油折讓,,6 ,BL29021700,3,
171,6134,1070424,WF20180424001,計劃快捷發送郵資,120 ,,,7,
172,1113,1070424,WF20180424001,計劃快捷發送郵資,,120 ,,7,
173,1113,1070426,WF20180426001,透過損益按公允價值衡量之金融資產,49819 ,,,5,
174,7243,1070426,WF20180426001,透過損益按公允價值衡量之金融資產,221 ,,,5,
175,7161,1070426,WF20180426001,透過損益按公允價值衡量之金融資產,,609 ,,5,
176,1121,1070426,WF20180426001,透過損益按公允價值衡量之金融資產,,49431 ,,5,
177,6114,1070428,WF20180428001,加油,114 ,,BL51318659,3,
178,6123,1070428,WF20180428001,稅捐,6 ,,BL51318659,3,
179,1113,1070428,WF20180428001,加油,,119 ,BL51318659,3,
180,5124,1070428,WF20180428001,加油折讓,,1 ,BL51318659,3,
181,6111,1070430,WF20180430001,一個員工,47950 ,,,2,
182,1281,1070430,WF20180430001,勞保、健保,1487 ,,,2,
183,6120,1070430,WF20180430001,勞保,418 ,,,2,
184,2171,1070430,WF20180430001,勞保、健保,,1905 ,,2,
185,2191,1070430,WF20180430001,一個員工,,47950 ,,2,
186,6112,1070430,WF20180430006,個人辦公室4月份租金支出(2個月)-發票日期 3/26,500 ,,,1,
187,1262,1070430,WF20180430006,個人辦公室5月份租金支出(2個月)-發票日期 3/26,500 ,,,1,
188,1113,1070430,WF20180430006,個人辦公室4.5月份租金支出(2個月)-發票日期 3/26,,1000 ,,1,
