序號,會計編碼,日期,傳票編號,摘要,借方金額,貸方金額,發票號碼,收據,銷售人統編
81,1240,1071001,WF20181001008,熱鐵架、電熱鐵,85,,HQ33656124,3,
82,6123,1071001,WF20181001008,熱鐵架、電熱鐵,5,,HQ33656124,3,
83,1113,1071001,WF20181001008,熱鐵架、電熱鐵,,90,HQ33656124,3,
84,6111,1071002,WF20181002001,9月份主管電信補貼費用,499,,HE73200391,3,19683736
85,1266,1071002,WF20181002001,9月份主管電信補貼費用,,499,HE73200391,3,19683736
86,1239,1071003,WF20181003001,螺絲,7,,HQ33656721,3,61431608
87,1113,1071003,WF20181003001,螺絲,,7,HQ33656721,3,61431608
88,1239,1071003,WF20181003002,插座、電線、Box,159,,HQ33656718,3,61431608
89,6123,1071003,WF20181003002,插座、電線、Box,8,,HQ33656718,3,61431608
90,1113,1071003,WF20181003002,插座、電線、Box,,167,HQ33656718,3,61431608
91,1240,1071003,WF20181003003,插頭,14,,HQ33656718,3,
92,6123,1071003,WF20181003003,插頭,1,,HQ33656718,3,
93,1113,1071003,WF20181003003,插頭,,15,HQ33656718,3,
94,5111,1071003,WF20181003004,9月份office365,263,,HF17307271,3,23525730
95,6123,1071003,WF20181003004,9月份office365,13,,HF17307271,3,23525730
96,1113,1071003,WF20181003004,9月份office365,,276,HF17307271,3,23525730
97,1586,1071004,WF20181004001,研究發展的電路板設備、連接線,971,,HV97386409,3,38654649
98,6123,1071004,WF20181004001,研究發展的電路板設備、連接線,49,,HV97386409,3,38654649
99,1113,1071004,WF20181004001,研究發展的電路板設備、連接線,,1020,HV97386409,3,38654649
100,2171,1071005,WF20181005001,9月份副總薪資,1487,,,2,
101,2191,1071005,WF20181005001,9月份副總薪資,50000,,,2,
102,1113,1071005,WF20181005001,9月份副總薪資,,51487,,2,
103,6111,1071005,WF20181005002,9月份員工勞健保,2050,,,2,
104,1281,1071005,WF20181005002,9月份員工勞健保,,2050,,2,
105,1240,1071006,WF20181006001,研發使用電路設備,240,,,7,
106,5155,1071006,WF20181006001,研發使用電路設備,60,,,7,
107,1113,1071006,WF20181006001,研發使用電路設備,,300,,7,
108,6114,1071007,WF20181007001,加油,142,,HB29117027,3,98981766
109,6123,1071007,WF20181007001,稅捐,7,,HB29117027,3,98981766
110,1113,1071007,WF20181007001,加油,,145,HB29117027,3,98981766
111,5124,1071007,WF20181007001,加油折讓,,4,HB29117027,3,98981766
112,1239,1071007,WF20181007002,線材、開關,24,,HS98928853,3,80584033
113,6123,1071007,WF20181007002,線材、開關,1,,HS98928853,3,80584033
114,1113,1071007,WF20181007002,線材、開關,,25,HS98928853,3,80584033
115,1586,1071008,WF20181008001,研究發展的電路板設備、連接線,908,,GE34641128,3,47684399
116,6123,1071008,WF20181008001,研究發展的電路板設備、連接線,45,,GE34641128,3,47684399
117,1113,1071008,WF20181008001,研究發展的電路板設備、連接線,,953,GE34641128,3,47684399
118,1586,1071009,WF20181009001,通訊用品,360,,,7,
119,1113,1071009,WF20181009001,通訊用品,,360,,7,
120,1239,1071013,WF20181013001,電子線、模組,90,,HS98930531,3,80584033
121,6123,1071013,WF20181013001,電子線、模組,5,,HS98930531,3,80584033
122,1113,1071013,WF20181013001,電子線、模組,,95,HS98930531,3,80584033
123,1239,1071013,WF20181013002,線材、模組、電子材料、夾線釘、電子材料座,188,,HS98931238,3,80584033
124,6123,1071013,WF20181013002,線材、模組、電子材料、夾線釘、電子材料座,9,,HS98931238,3,80584033
125,1113,1071013,WF20181013002,線材、模組、電子材料、夾線釘、電子材料座,,197,HS98931238,3,80584033
126,1239,1071014,WF20181014001,線材、夾線釘、排針,88,,HS98931984,3,80584033
127,6123,1071014,WF20181014001,線材、夾線釘、排針,4,,HS98931984,3,80584033
128,1113,1071014,WF20181014001,線材、夾線釘、排針,,92,HS98931984,3,80584033
129,1586,1071014,WF20181014001,鉗子工具,114,,HS98931984,3,80584033
130,6123,1071014,WF20181014001,鉗子工具,6,,HS98931984,3,80584033
131,1113,1071014,WF20181014001,鉗子工具,,120,HS98931984,3,80584033
132,6114,1071014,WF20181014002,加油,149,,HB29117157,3,98981766
133,6123,1071014,WF20181014002,稅捐,7,,HB29117157,3,98981766
134,1113,1071014,WF20181014002,加油,,152,HB29117157,3,98981766
135,5124,1071014,WF20181014002,加油折讓,,4,HB29117157,3,98981766
136,1240,1071017,WF20181017001,研發使用電路設備,1257,,,7,
137,5155,1071017,WF20181017001,研發使用電路設備,40,,,7,
138,1113,1071017,WF20181017001,研發使用電路設備,,1297,,7,
139,5156,1071016,WF20181016001,9月份電話費,772,,HE73219163,3,19683736
140,6123,1071016,WF20181016001,9月份電話費,39,,HE73219163,3,19683736
141,1113,1071016,WF20181016001,9月份電話費,,811,HE73219163,3,19683736
142,1586,1071025,WF20181025001,電源轉接夾,28,,HC94651857,3,27240313
143,6123,1071025,WF20181025001,電源轉接夾,1,,HC94651857,3,27240313
144,1113,1071025,WF20181025001,電源轉接夾,,29,HC94651857,3,27240313
145,1586,1071025,WF20181025002,吸鍚器,56,,HC94651860,3,27240313
146,6123,1071025,WF20181025002,吸鍚器,3,,HC94651860,3,27240313
147,1113,1071025,WF20181025002,吸鍚器,,59,HC94651860,3,27240313
148,1240,1071025,WF20181025003,膠條,9,,HC94651856,3,27240313
149,1113,1071025,WF20181025003,膠條,,9,HC94651856,3,27240313
150,1240,1071025,WF20181025004,鍚條,104,,HC94651858,3,27240313
151,6123,1071025,WF20181025004,鍚條,5,,HC94651858,3,27240313
152,1113,1071025,WF20181025004,鍚條,,109,HC94651858,3,27240313
153,5155,1071025,WF20181025005,購買運費,67,,HC94651859,3,27240313
154,6123,1071025,WF20181025005,購買運費,3,,HC94651859,3,27240313
155,1113,1071025,WF20181025005,購買運費,,70,HC94651859,3,27240313
156,1239,1071027,WF20181027001,原料,29,,HS98935517,3,80584033
157,6123,1071027,WF20181027001,原料,1,,HS98935517,3,80584033
158,1113,1071027,WF20181027001,原料,,30,HS98935517,3,80584033
159,1239,1071027,WF20181027002,熱鐵材料,27,,HQ33662913,3,61431608
160,6123,1071027,WF20181027002,熱鐵材料,1,,HQ33662913,3,61431608
161,1113,1071027,WF20181027002,熱鐵材料,,28,HQ33662913,3,61431608
162,1262,1071027,WF20181027003,11月份主管辦公室租金,500,,,1,
163,1113,1071027,WF20181027003,11月份主管辦公室租金,,500,,1,
164,5111,1071031,WF20181031001,10月份yes123人力銀行,320,,,1,
165,1262,1071031,WF20181031001,10月份yes123人力銀行,,320,,1,
166,6111,1071031,WF20181031002,一個員工-8月份,45401,,,2,
167,6120,1071031,WF20181031002,9月份公司勞保費用,1487,,,2,
168,1266,1071031,WF20181031002,行動費用-業務人事行政使用,475,,,2,
169,6123,1071031,WF20181031002,行動費用-業務人事行政使用,24,,,2,
170,1281,1071031,WF20181031002,員工勞健保,2050,,,2,
171,2191,1071031,WF20181031002,一個員工-9月份,,50000,,2,
172,2171,1071031,WF20181031002,9月份公司勞保費用,,1487,,2,
173,1113,1071031,WF20181031003,董事長購買股本,50000,,,2,
174,3111,1071031,WF20181031003,董事長購買股本,,50000,,2,
