號碼,傳票,月份,項目,會計科目,會計日期,會計月份,描述,借/貸,金額,
1967,WF20200416001,,5,1121,,4,透過損益按公允價值衡量之金融資產,2,29151.00,
1968,WF20200416002,,1,1113,,4,透過損益按公允價值衡量之金融資產,1,8465.00,
1969,WF20200416002,,2,7243,,4,透過損益按公允價值衡量之金融資產,1,20.00,
1970,WF20200416002,,3,6123,,4,透過損益按公允價值衡量之金融資產,1,25.00,
1971,WF20200416002,,4,7161,,4,透過損益按公允價值衡量之金融資產,2,65.00,
1972,WF20200416002,,5,1121,,4,透過損益按公允價值衡量之金融資產,2,8380.00,
2001,WF20200416002,,1,1122,,4,透過損益按公允價值衡量之金融資產之評價調整,2,65.00,
1979,WF20200416005,,1,1113,,4,透過損益按公允價值衡量之金融資產,1,34797.00,
1980,WF20200416005,,2,7243,,4,透過損益按公允價值衡量之金融資產,1,49.00,
1981,WF20200416005,,3,7162,,4,透過損益按公允價值衡量之金融資產,1,2.00,
1982,WF20200416005,,4,6123,,4,透過損益按公允價值衡量之金融資產,1,104.00,
1983,WF20200416005,,5,1121,,4,透過損益按公允價值衡量之金融資產,2,34750.00,
1984,WF20200416005,,6,1122,,4,透過損益按公允價值衡量之金融資產之評價調整,2,202.00,
1985,WF20200417001,,1,1113,,4,透過損益按公允價值衡量之金融資產,1,17165.00,
1986,WF20200417001,,2,7243,,4,透過損益按公允價值衡量之金融資產,1,24.00,
1987,WF20200417001,,3,6123,,4,透過損益按公允價值衡量之金融資產,1,51.00,
1988,WF20200417001,,4,1121,,4,透過損益按公允價值衡量之金融資產,2,17020.00,
1989,WF20200417001,,5,7161,,4,透過損益按公允價值衡量之金融資產,2,121.00,
1990,WF20200417001,,6,1122,,4,透過損益按公允價值衡量之金融資產之評價調整,2,99.00,
1991,WF20200417002,,1,1113,,4,透過損益按公允價值衡量之金融資產,1,34567.00,
1992,WF20200417002,,2,7243,,4,透過損益按公允價值衡量之金融資產,1,49.00,
1993,WF20200417002,,3,6123,,4,透過損益按公允價值衡量之金融資產,1,104.00,
1994,WF20200417002,,4,1121,,4,透過損益按公允價值衡量之金融資產,2,34047.00,
1995,WF20200417002,,5,7161,,4,透過損益按公允價值衡量之金融資產,2,471.00,
1996,WF20200417002,,6,1122,,4,透過損益按公允價值衡量之金融資產之評價調整,2,202.00,
2008,WF20200427001,,1,1113,,4,透過損益按公允價值衡量之金融資產,1,26135.00,
2009,WF20200427001,,2,7243,,4,透過損益按公允價值衡量之金融資產,1,37.00,
2010,WF20200427001,,3,6123,,4,透過損益按公允價值衡量之金融資產,1,78.00,
2011,WF20200427001,,4,1122,,4,透過損益按公允價值衡量之金融資產之評價調整,2,152.00,
2012,WF20200427001,,5,7161,,4,透過損益按公允價值衡量之金融資產,2,1425.00,
2013,WF20200427001,,6,1121,,4,透過損益按公允價值衡量之金融資產,2,24673.00,
2017,WF20200427003,,1,1113,,4,透過損益按公允價值衡量之金融資產,1,6461.00,
2018,WF20200427003,,2,7243,,4,透過損益按公允價值衡量之金融資產,1,20.00,
2019,WF20200427003,,3,6123,,4,透過損益按公允價值衡量之金融資產,1,19.00,
2020,WF20200427003,,4,7162,,4,透過損益按公允價值衡量之金融資產,2,141.00,
2021,WF20200427003,,5,1122,,4,透過損益按公允價值衡量之金融資產之評價調整,2,59.00,
2022,WF20200427003,,6,1121,,4,透過損益按公允價值衡量之金融資產,2,6300.00,
2026,WF20200428001,,1,1113,,4,透過損益按公允價值衡量之金融資產,1,8644.00,
2027,WF20200428001,,2,7243,,4,透過損益按公允價值衡量之金融資產,1,20.00,
2028,WF20200428001,,3,6123,,4,透過損益按公允價值衡量之金融資產,1,26.00,
2029,WF20200428001,,4,1122,,4,透過損益按公允價值衡量之金融資產之評價調整,2,66.00,
2030,WF20200428001,,5,7162,,4,透過損益按公允價值衡量之金融資產,2,34.00,
2031,WF20200428001,,6,1121,,4,透過損益按公允價值衡量之金融資產,2,8590.00,
2044,WF20200505004,,1,6116,,0,5月份郵電費,1,641.00,
2045,WF20200505004,,2,6123,,0,5月份郵電費,1,32.00,
2046,WF20200505004,,3,1113,,0,5月份郵電費,2,673.00,
2047,WF20200502001,,1,6112,,0,5月份office365,1,285.00,
2048,WF20200502001,,2,6123,,0,5月份office365,1,14.00,
2049,WF20200502001,,3,1113,,0,5月份office365,2,299.00,
2061,WF20200529001,,1,6111,,6,6月份遠傳業務支出,1,747.00,
2062,WF20200529001,,2,6123,,6,6月份遠傳業務支出,1,37.00,
2063,WF20200529001,,3,1113,,6,6月份遠傳業務支出,2,37.00,
2064,WF20200529001,,4,1261,,6,6月份遠傳業務支出,2,747.00,
2074,WF20200511001,,1,6123,,5,透過損益按公允價值衡量之金融資產,1,27.00,
2075,WF20200511001,,2,7243,,5,透過損益按公允價值衡量之金融資產,1,20.00,
2076,WF20200511001,,3,1113,,5,透過損益按公允價值衡量之金融資產,1,9003.00,
2079,WF20200511001,,4,1122,,5,透過損益按公允價值衡量之金融資產,1,136.00,
2077,WF20200511001,,5,1121,,5,透過損益按公允價值衡量之金融資產,2,9003.00,
2078,WF20200511001,,6,7161,,5,透過損益按公允價值衡量之金融資產,2,183.00,
2080,WF20200513001,,1,6123,,5,透過損益按公允價值衡量之金融資產,1,20.00,
2081,WF20200513001,,2,7243,,5,透過損益按公允價值衡量之金融資產,1,19.00,
2082,WF20200513001,,3,1113,,5,透過損益按公允價值衡量之金融資產,1,6351.00,
2084,WF20200513001,,4,7162,,5,透過損益按公允價值衡量之金融資產,1,9.00,
2083,WF20200513001,,5,1121,,5,透過損益按公允價值衡量之金融資產,2,6351.00,
2085,WF20200513001,,6,1122,,5,透過損益按公允價值衡量之金融資產,2,48.00,
2086,WF20200505003,,1,1113,,5,5/6--透過損益按公允價值衡量之金融資產,1,46330.00,
2087,WF20200505003,,2,7243,,5,5/6--透過損益按公允價值衡量之金融資產,1,72.00,
2088,WF20200505003,,3,6123,,5,5/6--透過損益按公允價值衡量之金融資產,1,138.00,
2091,WF20200505003,,4,1122,,5,5/6--透過損益按公允價值衡量之金融資產,1,714.00,
2089,WF20200505003,,5,1121,,5,5/6--透過損益按公允價值衡量之金融資產,2,46330.00,
2090,WF20200505003,,6,7161,,5,透過損益按公允價值衡量之金融資產,2,924.00,
2092,WF20200521001,,1,1113,,5,透過損益按公允價值衡量之金融資產,1,75082.00,
2093,WF20200521001,,2,7243,,5,透過損益按公允價值衡量之金融資產,1,107.00,
2094,WF20200521001,,3,6123,,5,透過損益按公允價值衡量之金融資產,1,161.00,
2097,WF20200521001,,4,1122,,5,透過損益按公允價值衡量之金融資產,1,660.00,
2095,WF20200521001,,5,1121,,5,透過損益按公允價值衡量之金融資產,2,75082.00,
2096,WF20200521001,,6,7161,,5,透過損益按公允價值衡量之金融資產,2,928.00,
2105,WF20200505005,,1,6123,,5,5月份遠傳業務支出,1,33.00,
2106,WF20200505005,,2,6111,,5,5月份遠傳業務支出,1,655.00,
3032,WF20200505005,,1,1281,,5,5月份遠傳業務支出,1,655.00,
2104,WF20200505005,,3,1113,,5,5月份遠傳業務支出,2,33.00,
2107,WF20200505008,,1,6111,,4,4月份中華業務支出,1,697.00,
2108,WF20200505008,,2,6123,,4,4月份中華業務支出,1,24.00,
2109,WF20200505008,,3,1281,,4,4月份中華業務支出,2,697.00,
2110,WF20200505008,,4,1113,,4,4月份中華業務支出,2,24.00,
2115,WF20200503001,,1,6114,,0,加油,1,81.00,
2116,WF20200503001,,2,6123,,0,加油,1,4.00,
2117,WF20200503001,,3,1113,,0,加油,2,85.00,
2118,WF20200523001,,1,6114,,0,加油,1,87.00,
2119,WF20200523001,,2,6123,,0,加油,1,4.00,
2120,WF20200523001,,3,1113,,0,加油,2,91.00,
2121,WF20200531002,,1,6114,,0,加油,1,96.00,
2122,WF20200531002,,2,6123,,0,加油,1,5.00,
2123,WF20200531002,,3,1113,,0,加油,2,101.00,
2136,WF20200616001,,1,6116,,0,6月份郵電費,1,649.00,
2137,WF20200616001,,2,6123,,0,6月份郵電費,1,32.00,
2138,WF20200616001,,3,1113,,0,6月份郵電費,2,681.00,
2139,WF20200603001,,1,6112,,0,6月份office365,1,285.00,
2140,WF20200603001,,2,6123,,0,6月份office365,1,14.00,
2141,WF20200603001,,3,1113,,0,6月份office365,2,299.00,
2157,WF20200613001,,1,6114,,0,0613--油單,1,101.00,
2158,WF20200613001,,2,6123,,0,0613--油單,1,5.00,
2159,WF20200613001,,3,1113,,0,0613--油單,2,106.00,
2160,WF20200606001,,1,6134,,0,0606--安全立扇--調節辦公溫度,1,499.00,
2161,WF20200606001,,2,6123,,0,0606--安全立扇--調節辦公溫度,1,25.00,
2162,WF20200606001,,3,1113,,0,0606--安全立扇--調節辦公溫度,2,524.00,
2165,WF20200601003,,1,6114,,0,1090512--油單,1,84.00,
2166,WF20200601003,,2,6123,,0,1090512--油單,1,4.00,
2167,WF20200601003,,3,1113,,0,1090512--油單,2,88.00,
2168,WF20200601005,,1,6114,,0,1090429--停車費--署桃醫學人員開會,1,19.00,
2169,WF20200601005,,2,6123,,0,1090429--停車費--署桃醫學人員開會,1,1.00,
2170,WF20200601005,,3,1113,,0,1090429--停車費--署桃醫學人員開會,2,20.00,
2171,WF20200601004,,1,6114,,0,1090412--油單,1,86.00,
2172,WF20200601004,,2,6123,,0,1090412--油單,1,4.00,
2173,WF20200601004,,3,1113,,0,1090412--油單,2,90.00,
2213,WF20200706001,,1,6116,,0,7月份郵電費,1,2410.00,
2214,WF20200706001,,2,6123,,0,7月份郵電費,1,121.00,
2215,WF20200706001,,3,1113,,0,7月份郵電費,2,2531.00,
2216,WF20200702001,,1,6112,,0,7月份office365,1,285.00,
2217,WF20200702001,,2,6123,,0,7月份office365,1,14.00,
2218,WF20200702001,,3,1113,,0,7月份office365,2,299.00,
2230,WF20200729002,,1,6111,,8,8月份業務支出,1,1203.00,
2231,WF20200729002,,2,6123,,8,8月份業務支出,1,60.00,
2232,WF20200729002,,3,1113,,8,8月份業務支出,2,60.00,
2233,WF20200729002,,4,1261,,8,8月份業務支出,2,1203.00,
2234,WF20200701003,,1,6114,,0,油單,1,110.00,
2235,WF20200701003,,2,6123,,0,油單,1,6.00,
2236,WF20200701003,,3,1113,,0,油單,2,116.00,
2237,WF20200704001,,1,6134,,0,停車費-工總智慧醫學會議,1,29.00,
2238,WF20200704001,,2,6123,,0,停車費-工總智慧醫學會議,1,1.00,
2239,WF20200704001,,3,1113,,0,停車費-工總智慧醫學會議,2,30.00,
2242,WF20200711001,,1,6114,,0,油單,1,48.00,
2243,WF20200711001,,2,6123,,0,油單,1,2.00,
2244,WF20200711001,,3,1113,,0,油單,2,50.00,
2245,WF20200715001,,1,6114,,0,油單,1,48.00,
2246,WF20200715001,,2,6123,,0,油單,1,2.00,
2247,WF20200715001,,3,1113,,0,油單,2,50.00,
2248,WF20200719001,,1,6114,,0,油單,1,112.00,
2249,WF20200719001,,2,6123,,0,油單,1,6.00,
2250,WF20200719001,,3,1113,,0,油單,2,118.00,
2251,WF20200722001,,1,6134,,0,手機充電線-HTC-TypeC,1,112.00,
2252,WF20200722001,,2,6123,,0,手機充電線-HTC-TypeC,1,6.00,
2253,WF20200722001,,3,1113,,0,手機充電線-HTC-TypeC,2,118.00,
2256,WF20200729001,,1,6114,,0,油單,1,48.00,
2257,WF20200729001,,2,6123,,0,油單,1,2.00,
2258,WF20200729001,,3,1113,,0,油單,2,50.00,
2268,WF20200802001,,1,6112,,0,8月份office365,1,285.00,
2269,WF20200802001,,2,6123,,0,8月份office365,1,14.00,
2270,WF20200802001,,3,1113,,0,8月份office365,2,299.00,
2282,WF20200829002,,1,6111,,9,9月份業務支出,1,655.00,
2283,WF20200829002,,2,6123,,9,9月份業務支出,1,33.00,
2284,WF20200829002,,3,1113,,9,9月份業務支出,2,33.00,
2285,WF20200829002,,4,1261,,9,9月份業務支出,2,655.00,
2286,WF20200804001,,1,6114,,0,油單,1,48.00,
2287,WF20200804001,,2,6123,,0,油單,1,2.00,
2288,WF20200804001,,3,1113,,0,油單,2,50.00,
2289,WF20200812001,,1,6134,,0,金漾獎會議-停車費用,1,19.00,
2290,WF20200812001,,2,6123,,0,金漾獎會議-停車費用,1,1.00,
2291,WF20200812001,,3,1113,,0,金漾獎會議-停車費用,2,20.00,
2294,WF20200829001,,1,6114,,0,油單,1,109.00,
2295,WF20200829001,,2,6123,,0,油單,1,5.00,
2296,WF20200829001,,3,1113,,0,油單,2,114.00,
2301,WF20200820001,,1,6114,,0,油單,1,96.00,
2302,WF20200820001,,2,6123,,0,油單,1,5.00,
2303,WF20200820001,,3,1113,,0,油單,2,101.00,
2304,WF20200819001,,1,6134,,0,台中大學校部-國發創業天使辦公室-停車費,1,19.00,
2306,WF20200819001,,2,6123,,0,台中大學校部-國發創業天使辦公室-停車費,1,1.00,
2305,WF20200819001,,3,1113,,0,台中大學校部-國發創業天使辦公室-停車費,2,20.00,
2309,WF20200817001,,1,6116,,0,8月份市話及網路費-郵電費,1,650.00,
2310,WF20200817001,,2,6123,,0,8月份市話及網路費-郵電費,1,32.00,
2311,WF20200817001,,3,1113,,0,8月份市話及網路費-郵電費,2,682.00,
2315,WF20200824001,,3,1113,,0,系統資訊工作處理收入,1,1429.00,
2316,WF20200824001,,2,6123,,0,系統資訊工作處理收入,1,71.00,
2314,WF20200824001,,1,4111,,0,系統資訊工作處理收入,2,1500.00,
2324,WF20200915001,,1,6116,,0,9月份郵電費,1,652.00,
2325,WF20200915001,,2,6123,,0,9月份郵電費,1,33.00,
2326,WF20200915001,,3,1113,,0,9月份郵電費,2,685.00,
2327,WF20200902001,,1,6112,,0,9月份office365,1,285.00,
2328,WF20200902001,,2,6123,,0,9月份office365,1,14.00,
2329,WF20200902001,,3,1113,,0,9月份office365,2,299.00,
2349,WF20200920001,,1,6114,,0,D/A Quality列印紙,1,94.00,
2350,WF20200920001,,2,6123,,0,D/A Quality列印紙,1,4.00,
2351,WF20200920001,,3,1113,,0,D/A Quality列印紙,2,98.00,
2352,WF20200919001,,1,6114,,0,油單,1,96.00,
2353,WF20200919001,,2,6123,,0,油單,1,5.00,
2354,WF20200919001,,3,1113,,0,油單,2,101.00,
2355,WF20200916001,,1,6114,,0,油單,1,48.00,
2356,WF20200916001,,2,6123,,0,油單,1,2.00,
2357,WF20200916001,,3,1113,,0,油單,2,50.00,
2360,WF20200929001,,1,6114,,0,電話端子6p2c、壓著端子(電導差),1,21.00,
2361,WF20200929001,,2,6123,,0,電話端子6p2c、壓著端子(電導差),1,1.00,
2362,WF20200929001,,3,1113,,0,電話端子6p2c、壓著端子(電導差),2,22.00,
2363,WF20200929002,,1,1240,,0,3M 電極貼片 *50,1,286.00,
2364,WF20200929002,,2,6123,,0,3M 電極貼片 *50,1,14.00,
2365,WF20200929002,,3,1113,,0,3M 電極貼片 *50,2,300.00,
2366,WF20200925001,,1,6134,,0,五金,1,157.00,
2367,WF20200925001,,2,6123,,0,五金,1,8.00,
2368,WF20200925001,,3,1113,,0,五金,2,165.00,
2369,WF20200929003,,1,6113,,0,滑鼠墊,1,104.00,
2370,WF20200929003,,2,6123,,0,滑鼠墊,1,5.00,
2371,WF20200929003,,3,1113,,0,滑鼠墊,2,109.00,
2372,WF20200908001,,1,6113,,0,文具用品-電池,1,76.00,
2373,WF20200908001,,2,6123,,0,文具用品-電池,1,4.00,
2374,WF20200908001,,3,1113,,0,文具用品-電池,2,80.00,
2375,WF20200912001,,1,6134,,0,百貨用品,1,362.00,
2376,WF20200912001,,2,6123,,0,百貨用品,1,18.00,
2377,WF20200912001,,3,1113,,0,百貨用品,2,380.00,
2378,WF20200912002,,1,6134,,0,百貨用品,1,67.00,
2379,WF20200912002,,2,6123,,0,百貨用品,1,3.00,
2380,WF20200912002,,3,1113,,0,百貨用品,2,70.00,
2381,WF20200904001,,1,6114,,0,1090816--油單,1,48.00,
2382,WF20200904001,,2,6123,,0,1090816--油單,1,2.00,
2383,WF20200904001,,3,1113,,0,1090816--油單,2,50.00,
2398,WF20201007001,,1,6113,,0,文頁用品-碳粉匣,1,1000.00,
2399,WF20201007001,,2,6123,,0,文頁用品-碳粉匣,1,50.00,
2400,WF20201007001,,3,1113,,0,文頁用品-碳粉匣,2,1050.00,
2405,WF20201105001,,1,6116,,0,11月份郵電費,1,777.00,
2406,WF20201105001,,2,6123,,0,11月份郵電費,1,39.00,
2407,WF20201105001,,3,1113,,0,11月份郵電費,2,816.00,
2408,WF20201103001,,1,6112,,0,11月份office365,1,285.00,
2409,WF20201103001,,2,6123,,0,11月份office365,1,14.00,
2410,WF20201103001,,3,1113,,0,11月份office365,2,299.00,
2444,WF20201008001,,1,6111,,10,10月份業務支出,1,655.00,
2445,WF20201008001,,2,6123,,10,10月份業務支出,1,33.00,
2446,WF20201008001,,3,1113,,10,10月份業務支出,2,33.00,
2447,WF20201008001,,4,1281,,10,10月份業務支出,2,655.00,
2452,WF20201014001,,1,6114,,6,油單,1,107.00,
2453,WF20201014001,,2,6123,,6,油單,1,5.00,
2454,WF20201014001,,3,1113,,6,油單,2,112.00,
2455,WF20201028001,,1,6134,,0,109-08-05--丁雙、研發材料,1,19.00,
2456,WF20201028001,,2,6123,,0,109-08-05--丁雙、研發材料,1,1.00,
2457,WF20201028001,,3,1113,,0,109-08-05--丁雙、研發材料,2,20.00,
2458,WF20201028002,,1,6114,,6,109-08-06--油單,1,115.00,
2459,WF20201028002,,2,6123,,6,109-08-06--油單,1,6.00,
2460,WF20201028002,,3,1113,,6,109-08-06--油單,2,121.00,
2463,WF20201028005,,1,1563,,0,109-09-21-折疊椅,1,856.00,
2464,WF20201028005,,2,6123,,0,109-09-21-折疊椅,1,43.00,
2465,WF20201028005,,3,1113,,0,109-09-21-折疊椅,2,899.00,
2466,WF20201028006,,1,6115,,0,109-09-21-折疊椅運費,1,95.00,
2467,WF20201028006,,2,6123,,0,109-09-21-折疊椅運費,1,5.00,
2468,WF20201028006,,3,1113,,0,109-09-21-折疊椅運費,2,100.00,
2595,WF20201125001,,1,6134,,0,引擎除碳器,1,617.00,
2596,WF20201125001,,2,6123,,0,引擎除碳器,1,31.00,
2597,WF20201125001,,3,1113,,0,引擎除碳器,2,648.00,
2598,WF20201126001,,1,6134,,0,員工年度獎勵伙食,1,380.00,
2599,WF20201126001,,2,6123,,0,員工年度獎勵伙食,1,19.00,
2600,WF20201126001,,3,1113,,0,員工年度獎勵伙食,2,399.00,
2603,WF20201129001,,1,6114,,0,油資,1,110.00,
2604,WF20201129001,,2,6123,,0,油資,1,5.00,
2605,WF20201129001,,3,1113,,0,油資,2,115.00,
2610,WF20201201003,,1,6116,,0,12月份郵電費-1216,1,830.00,
2611,WF20201201003,,2,6123,,0,12月份郵電費-1216,1,41.00,
2612,WF20201201003,,3,1113,,0,12月份郵電費-1216,2,871.00,
2613,WF20201203001,,1,6112,,0,12月份office365-1202,1,285.00,
2614,WF20201203001,,2,6123,,0,12月份office365-1202,1,14.00,
2615,WF20201203001,,3,1113,,0,12月份office365-1202,2,299.00,
2627,WF20201201004,,1,6111,,12,12月份業務支出,1,1150.00,
2628,WF20201201004,,2,6123,,12,12月份業務支出,1,57.00,
2629,WF20201201004,,3,1113,,12,12月份業務支出,2,57.00,
2630,WF20201201004,,4,1261,,12,12月份業務支出,2,1150.00,
2631,WF20201212001,,1,6123,,0,油資,1,6.00,
2633,WF20201212001,,2,6114,,0,油資,1,112.00,
2632,WF20201212001,,3,1113,,0,油資,2,118.00,
2638,WF20201107001,,1,6114,,0,油資,1,108.00,
2639,WF20201107001,,2,6123,,0,油資,1,5.00,
2640,WF20201107001,,3,1113,,0,油資,2,113.00,
2643,WF20201124001,,1,6134,,0,出席台北媒合會,1,19.00,
2644,WF20201124001,,2,6123,,0,出席台北媒合會,1,1.00,
2645,WF20201124001,,3,1113,,0,出席台北媒合會,2,20.00,
2648,WF20201101003,,1,1239,,0,1090918--電子材料,1,53.00,
2649,WF20201101003,,2,6123,,0,1090918--電子材料,1,3.00,
2650,WF20201101003,,3,1113,,0,1090918--電子材料,2,56.00,
2655,WF20201130005,,1,1240,,0,1090504--電子零件一批--補充研發材料,1,1002.00,
2656,WF20201130005,,2,6123,,0,1090504--電子零件一批--補充研發材料,1,50.00,
2657,WF20201130005,,3,1113,,0,1090504--電子零件一批--補充研發材料,2,1052.00,
2689,WF20201104001,,1,6111,,11,11月份業務支出-1104,1,1434.00,
2690,WF20201104001,,2,6123,,11,11月份業務支出-1104,1,72.00,
2692,WF20201104001,,4,1113,,11,11月份業務支出-1104,2,1434.00,
2693,WF20201104001,,5,1281,,11,11月份業務支出-1104,2,72.00,
2776,WF20190106001,,1,1113,,0,0106-WH59436994-Office換約折讓單,1,381.00,
2778,WF20190106001,,2,5124,,0,0106-WH59436994-Office換約折讓單,2,363.00,
2780,WF20190106001,,3,6123,,0,0106-WH59436994-Office換約折讓單,2,18.00,
2784,WF20190107001,,1,6114,,0,加油,1,133.00,
2786,WF20190107001,,2,6123,,0,加油,1,7.00,
2788,WF20190107001,,3,1113,,0,加油,2,140.00,
2802,WF20200103002,,1,6112,,0,1月份Office365,1,285.00,
2804,WF20200103002,,2,6123,,0,1月份Office365,1,14.00,
2806,WF20200103002,,3,1113,,0,1月份Office365,2,299.00,
2808,WF20200104002,,1,6114,,0,加油,1,48.00,
2810,WF20200104002,,2,6123,,0,加油,1,2.00,
2812,WF20200104002,,3,1113,,0,加油,2,50.00,
2819,WF20200115001,,1,6116,,0,1月份郵電費,1,637.00,
2821,WF20200115001,,2,6123,,0,1月份郵電費,1,32.00,
2823,WF20200115001,,3,1113,,0,1月份郵電費,2,669.00,
2825,WF20200117001,,1,6114,,0,加油,1,137.00,
2827,WF20200117001,,2,6123,,0,加油,1,14.00,
2829,WF20200117001,,3,1113,,0,加油,2,144.00,
2831,WF20200119001,,1,6134,,0,水電材料1項,1,285.00,
2833,WF20200119001,,2,6123,,0,水電材料1項,1,14.00,
2835,WF20200119001,,3,1113,,0,水電材料1項,2,299.00,
2837,WF20200121001,,1,6114,,0,參加1年1度數據資料競賽說明會,1,19.00,
2839,WF20200121001,,2,6123,,0,參加1年1度數據資料競賽說明會,1,1.00,
2841,WF20200121001,,3,1113,,0,參加1年1度數據資料競賽說明會,2,20.00,
2843,WF20200131001,,1,1261,,2,2月份業務支出 ,1,475.00,
2845,WF20200131001,,2,6123,,2,2月份業務支出 ,1,24.00,
2847,WF20200131001,,3,1113,,2,2月份業務支出 ,2,499.00,
2849,WF20200131002,,1,6116,,0,2月份郵電費,1,643.00,
2851,WF20200131002,,2,6123,,0,2月份郵電費,1,32.00,
2853,WF20200131002,,3,2171,,0,2月份郵電費,2,675.00,
2868,WF20200202001,,1,6114,,0,加油,1,130.00,
2870,WF20200202001,,2,6123,,0,加油,1,7.00,
2872,WF20200202001,,3,1113,,0,加油,2,137.00,
2883,WF20200210002,,1,6114,,0,加油,1,124.00,
2885,WF20200210002,,2,6123,,0,加油,1,6.00,
2887,WF20200210002,,3,1113,,0,加油,2,130.00,
2889,WF20200214001,,1,1239,,0,1.2m充電傳輸、DVD-R 10入,1,112.00,
2891,WF20200214001,,2,6123,,0,1.2m充電傳輸、DVD-R 10入,1,6.00,
2893,WF20200214001,,3,1113,,0,1.2m充電傳輸、DVD-R 10入,2,118.00,
2902,WF20200219001,,1,6114,,0,加油,1,122.00,
2904,WF20200219001,,2,6123,,0,加油,1,6.00,
2906,WF20200219001,,3,1113,,0,加油,2,128.00,
2908,WF20200229001,,1,6114,,0,加油,1,128.00,
2910,WF20200229001,,2,6123,,0,加油,1,6.00,
2912,WF20200229001,,3,1113,,0,加油,2,134.00,
2914,WF20200229002,,1,1261,,3,3月份業務支出,1,697.00,
2916,WF20200229002,,2,6123,,3,3月份業務支出,1,35.00,
2918,WF20200229002,,3,2191,,3,3月份業務支出,2,732.00,
2432,WF20201003001,,1,6112,,0,10月份office365,1,285.00,
3018,WF20201003001,,2,6123,,0,10月份office365,1,14.00,
2433,WF20201003001,,3,1113,,0,10月份office365,2,299.00,
3019,WF20200930005,,1,6123,,0,10月份電話費-郵電費,1,32.00,
3020,WF20200930005,,1,6116,,0,10月份電話費-郵電費,1,647.00,
3021,WF20200930005,,2,1113,,0,10月份電話費-郵電費,2,679.00,
3023,WF20200103001,,2,1261,,1,108年1月業務支出-例行501支出，增例加值服務費用，查無電子收費單，補足員工薪資-蕭副總,1,36.00,
3024,WF20200103001,,3,6123,,1,108年1月業務支出-例行501支出，增例加值服務費用，查無電子收費單，補足員工薪資,1,27.00,
3025,WF20200103001,,1,6111,,1,108年1月業務支出-例行499支出，增例加值服務費用，查無電子收費單，補足員工薪資,1,499.00,
2800,WF20200103001,,2,1113,,1,108年1月業務支出-例行501支出，增例加值服務費用，查無電子收費單，補足員工薪資,2,63.00,
3022,WF20200103001,,1,1266,,1,108年1月業務支出-例行501支出，增例加值服務費用，查無電子收費單，補足員工薪資-蕭副總,2,499.00,
3029,WF20200505009,,1,1261,,5,5月份中華業務支出-蕭副總-未報帳-給予預支,1,164.00,
3030,WF20200505009,,2,6123,,5,5月份業務支出,1,8.00,
3031,WF20200505009,,3,1113,,5,5月份業務支出,2,172.00,
3036,WF20200706004,,1,6111,,7,7月份業務支出,1,890.00,
3037,WF20200706004,,2,6123,,7,7月份業務支出,1,44.00,
3038,WF20200706004,,3,1281,,7,7月份業務支出,2,890.00,
3039,WF20200706004,,4,1113,,7,7月份業務支出,2,44.00,
3043,WF20210131005,,1,6112,,0,2月份Office365,1,285.00,
3044,WF20210131005,,2,6123,,0,2月份Office365,1,14.00,
3045,WF20210131005,,3,1113,,0,2月份Office365,2,299.00,
