序號,項目,會計科目,月份,當期日,傳票,說明,發票,借/貸,金額,所屬月份
2223,5,2171,7,2020/7/31 上午 12:00:00,WF20200731001,7月份薪資,,2,2474,
2224,6,2191,7,2020/7/31 上午 12:00:00,WF20200731001,7月份薪資,,2,34800,
2282,1,6111,8,2020/8/14 上午 12:00:00,WF20200814003,8月份業務支出,,1,1203,
2283,2,6123,8,2020/8/14 上午 12:00:00,WF20200814003,8月份業務支出,,1,60,
2284,3,1113,8,2020/8/14 上午 12:00:00,WF20200814003,8月份業務支出,,2,1203,
2285,4,1261,8,2020/8/14 上午 12:00:00,WF20200814003,8月份業務支出,,2,60,
2271,1,6111,8,2020/8/31 上午 12:00:00,WF20200831001,8月份薪資,,1,31817,
2272,2,1281,8,2020/8/31 上午 12:00:00,WF20200831001,8月份勞健保,,1,2328,
2273,3,6120,8,2020/8/31 上午 12:00:00,WF20200831001,8月份保險費,,1,2474,
2274,4,1261,8,2020/8/31 上午 12:00:00,WF20200831001,8月份業務支出,,1,655,
2275,5,2171,8,2020/8/31 上午 12:00:00,WF20200831001,8月份薪資,,2,2328,
2276,6,2191,8,2020/8/31 上午 12:00:00,WF20200831001,8月份薪資,,2,34946,
2330,1,6111,9,2020/9/30 上午 12:00:00,WF20200930001,9月份薪資,,1,31784,
2331,2,1281,9,2020/9/30 上午 12:00:00,WF20200930001,9月份勞健保,,1,2474,
2332,3,6120,9,2020/9/30 上午 12:00:00,WF20200930001,9月份保險費,,1,2328,
2333,4,1261,9,2020/9/30 上午 12:00:00,WF20200930001,9月份業務支出,,1,688,
2334,5,2171,9,2020/9/30 上午 12:00:00,WF20200930001,9月份薪資,,2,2474,
2335,6,2191,9,2020/9/30 上午 12:00:00,WF20200930001,9月份薪資,,2,34800,
2444,1,6111,10,2020/10/10 上午 12:00:00,WF20201010003,10月份業務支出,,1,655,
2445,2,6123,10,2020/10/10 上午 12:00:00,WF20201010003,10月份業務支出,,1,33,
2446,3,1113,10,2020/10/10 上午 12:00:00,WF20201010003,10月份業務支出,,2,33,
2447,4,1261,10,2020/10/10 上午 12:00:00,WF20201010003,10月份業務支出,,2,655,
2434,1,6111,10,2020/10/31 上午 12:00:00,WF20201031001,10月份薪資,,1,30963,
2435,2,1281,10,2020/10/31 上午 12:00:00,WF20201031001,10月份勞健保,,1,2328,
2436,3,6120,10,2020/10/31 上午 12:00:00,WF20201031001,10月份保險費,,1,2474,
2437,4,1261,10,2020/10/31 上午 12:00:00,WF20201031001,10月份業務支出,,1,777,
2438,5,2171,10,2020/10/31 上午 12:00:00,WF20201031001,10月份薪資,,2,2474,
2439,6,2191,10,2020/10/31 上午 12:00:00,WF20201031001,10月份薪資,,2,34068,
2422,1,6111,11,2020/11/10 上午 12:00:00,WF20201110003,11月份業務支出,,1,777,
2423,2,6123,11,2020/11/10 上午 12:00:00,WF20201110003,11月份業務支出,,1,39,
2424,3,1113,11,2020/11/10 上午 12:00:00,WF20201110003,11月份業務支出,,2,39,
2425,4,1261,11,2020/11/10 上午 12:00:00,WF20201110003,11月份業務支出,,2,777,
2411,1,6111,11,2020/11/30 上午 12:00:00,WF20201130001,11月份薪資,,1,15210,
2412,2,1281,11,2020/11/30 上午 12:00:00,WF20201130001,11月份勞健保,,1,2474,
2413,3,6120,11,2020/11/30 上午 12:00:00,WF20201130001,11月份保險費,,1,2328,
2414,4,1261,11,2020/11/30 上午 12:00:00,WF20201130001,11月份業務支出,,1,1150,
2415,5,2171,11,2020/11/30 上午 12:00:00,WF20201130001,11月份薪資-包括11月少收之業務支出,,2,2933,
2416,6,2191,11,2020/11/30 上午 12:00:00,WF20201130001,11月份薪資,,2,18229,
2627,1,6111,12,2020/12/10 上午 12:00:00,WF20201210003,12月份業務支出,,1,1150,
2628,2,6123,12,2020/12/10 上午 12:00:00,WF20201210003,12月份業務支出,,1,57,
2629,3,1113,12,2020/12/10 上午 12:00:00,WF20201210003,12月份業務支出,,2,57,
2630,4,1261,12,2020/12/10 上午 12:00:00,WF20201210003,12月份業務支出,,2,1150,
