序號,傳票,日期,科目,描述,借/貸,金額
36,WF20220117001,2022/1/17 上午 12:00:00,6123,油資,1,2
37,WF20220117001,2022/1/17 上午 12:00:00,1113,油資,2,50
38,WF20220117002,2022/1/17 上午 12:00:00,6114,停車費,1,48
39,WF20220117002,2022/1/17 上午 12:00:00,6123,停車費,1,2
40,WF20220117002,2022/1/17 上午 12:00:00,1113,停車費,2,50
41,WF20220119001,2022/1/19 上午 12:00:00,6134,螺母,1,48
42,WF20220119001,2022/1/19 上午 12:00:00,6123,螺母,1,2
43,WF20220119001,2022/1/19 上午 12:00:00,1113,螺母,2,50
44,WF20220119002,2022/1/19 上午 12:00:00,6114,組裝零件-螺母,1,9
45,WF20220119002,2022/1/19 上午 12:00:00,1113,組裝零件-螺母,2,9
46,WF20220119003,2022/1/19 上午 12:00:00,6134,碳鋅電池-使用在網路工具的量測電池,1,33
47,WF20220119003,2022/1/19 上午 12:00:00,6123,碳鋅電池-使用在網路工具的量測電池,1,2
48,WF20220119003,2022/1/19 上午 12:00:00,1113,碳鋅電池-使用在網路工具的量測電池,2,35
49,WF20220119004,2022/1/19 上午 12:00:00,6114,碳鋅電池-9V 1入,1,33
50,WF20220119004,2022/1/19 上午 12:00:00,6123,碳鋅電池-9V 1入,1,2
51,WF20220119004,2022/1/19 上午 12:00:00,1113,碳鋅電池-9V 1入,2,35
52,WF20220119005,2022/1/19 上午 12:00:00,6134,擦拭布,1,29
53,WF20220119005,2022/1/19 上午 12:00:00,6123,擦拭布,1,1
54,WF20220119005,2022/1/19 上午 12:00:00,1113,擦拭布,2,30
55,WF20220119006,2022/1/19 上午 12:00:00,6134,五金,1,29
56,WF20220119006,2022/1/19 上午 12:00:00,6123,五金,1,1
57,WF20220119006,2022/1/19 上午 12:00:00,1113,五金,2,30
58,WF20220120001,2022/1/20 上午 12:00:00,6134,2.5吋外接盒藍,1,179
59,WF20220120001,2022/1/20 上午 12:00:00,6115,2.5吋外接盒藍-運費,1,45
60,WF20220120001,2022/1/20 上午 12:00:00,1113,2.5吋外接盒藍,2,224
61,WF20220120002,2022/1/20 上午 12:00:00,6134,SSD 2.5吋 120G/240G/480,1,443
62,WF20220120002,2022/1/20 上午 12:00:00,6123,SSD 2.5吋 120G/240G/480,1,22
63,WF20220120002,2022/1/20 上午 12:00:00,1113,SSD 2.5吋 120G/240G/480,2,465
64,WF20220122001,2022/1/22 上午 12:00:00,1240,ic卡*100,1,494
65,WF20220122001,2022/1/22 上午 12:00:00,6123,ic卡*100,1,25
66,WF20220122001,2022/1/22 上午 12:00:00,1113,ic卡*100,2,519
67,WF20220122002,2022/1/22 上午 12:00:00,5111,ic卡,1,494
68,WF20220122002,2022/1/22 上午 12:00:00,6134,ic卡-運費,1,25
69,WF20220122002,2022/1/22 上午 12:00:00,1113,ic卡,2,519
70,WF20220124001,2022/1/24 上午 12:00:00,1240,IC讀卡機*5,1,1095
71,WF20220124001,2022/1/24 上午 12:00:00,6123,IC讀卡機*5,1,55
72,WF20220124001,2022/1/24 上午 12:00:00,1113,IC讀卡機*5,2,1150
73,WF20220124002,2022/1/24 上午 12:00:00,5111,電子零件*1,1,1095
74,WF20220124002,2022/1/24 上午 12:00:00,6134,電子零件*1,1,55
75,WF20220124002,2022/1/24 上午 12:00:00,1113,電子零件*1,2,1150
76,WF20220126001,2022/1/26 上午 12:00:00,5111,usb集線器,1,186
77,WF20220126001,2022/1/26 上午 12:00:00,6134,usb集線器,1,9
78,WF20220126001,2022/1/26 上午 12:00:00,1113,usb集線器,2,195
79,WF20220126002,2022/1/26 上午 12:00:00,6114,油資,1,145
80,WF20220126002,2022/1/26 上午 12:00:00,6123,油資,1,7
81,WF20220126002,2022/1/26 上午 12:00:00,1113,油資,2,152
82,WF20220126003,2022/1/26 上午 12:00:00,5111,IC卡,1,200
83,WF20220126003,2022/1/26 上午 12:00:00,1113,IC卡,2,200
84,WF20220201001,2022/2/1 上午 12:00:00,6134,媒體投資娛樂費,1,512
85,WF20220201001,2022/2/1 上午 12:00:00,1262,媒體投資娛樂費,2,512
86,WF20220201002,2022/2/1 上午 12:00:00,1191,案件-第一期款 (發票先開),1,9523
87,WF20220201002,2022/2/1 上午 12:00:00,4111,案件-第一期款 (發票先開),2,9523
88,WF20220202001,2022/2/2 上午 12:00:00,6112,Office365,1,375
89,WF20220202001,2022/2/2 上午 12:00:00,6123,Office365,1,19
90,WF20220202001,2022/2/2 上午 12:00:00,1113,Office365,2,394
91,WF20220203001,2022/2/3 上午 12:00:00,6134,管理費用-公司負責人電話費用,1,684
92,WF20220203001,2022/2/3 上午 12:00:00,6123,管理費用-公司負責人電話費用,1,34
93,WF20220203001,2022/2/3 上午 12:00:00,1113,管理費用-公司負責人電話費用,2,718
94,WF20220204001,2022/2/4 上午 12:00:00,6134,延長線-2pin-4個 * 2,1,466
95,WF20220204001,2022/2/4 上午 12:00:00,6123,延長線-2pin-4個 * 2,1,23
96,WF20220204001,2022/2/4 上午 12:00:00,1113,延長線-2pin-4個 * 2,2,489
97,WF20220204002,2022/2/4 上午 12:00:00,5111,延長線-1開4插(15尺)*2,1,466
98,WF20220204002,2022/2/4 上午 12:00:00,6123,延長線-1開4插(15尺)*2,1,23
99,WF20220204002,2022/2/4 上午 12:00:00,1113,延長線-1開4插(15尺)*2,2,489
100,WF20220206001,2022/2/6 上午 12:00:00,6114,油資,1,229
101,WF20220206001,2022/2/6 上午 12:00:00,6123,油資,1,11
102,WF20220206001,2022/2/6 上午 12:00:00,1113,油資,2,240
103,WF20220208001,2022/2/8 上午 12:00:00,1266,預付租金,1,1530
104,WF20220208001,2022/2/8 上午 12:00:00,1113,預付租金,2,1530
105,WF20220210001,2022/2/10 上午 12:00:00,6134,公司負責人津貼,1,570
106,WF20220210001,2022/2/10 上午 12:00:00,6123,公司負責人津貼,1,28
107,WF20220210001,2022/2/10 上午 12:00:00,1113,公司負責人津貼,2,598
108,WF20220210002,2022/2/10 上午 12:00:00,6134,公司負責人津貼,1,740
109,WF20220210002,2022/2/10 上午 12:00:00,6123,公司負責人津貼,1,37
110,WF20220210002,2022/2/10 上午 12:00:00,1113,公司負責人津貼,2,777
111,WF20220211001,2022/2/11 上午 12:00:00,6114,油資,1,138
112,WF20220211001,2022/2/11 上午 12:00:00,6123,油資,1,7
113,WF20220211001,2022/2/11 上午 12:00:00,1113,油資,2,145
114,WF20220214001,2022/2/14 上午 12:00:00,6134,小桌子*2 ,1,565
115,WF20220214001,2022/2/14 上午 12:00:00,6115,小桌子*2 (運費),1,95
116,WF20220214001,2022/2/14 上午 12:00:00,6123,小桌子*2 ,1,33
117,WF20220214001,2022/2/14 上午 12:00:00,1113,小桌子*2 ,2,693
118,WF20220214002,2022/2/14 上午 12:00:00,6134,百貨用品,1,46
119,WF20220214002,2022/2/14 上午 12:00:00,6123,百貨用品,1,2
120,WF20220214002,2022/2/14 上午 12:00:00,1113,百貨用品,2,48
121,WF20220214003,2022/2/14 上午 12:00:00,6114,油資,1,190
122,WF20220214003,2022/2/14 上午 12:00:00,6123,油資,1,10
123,WF20220214003,2022/2/14 上午 12:00:00,1113,油資,2,200
124,WF20220214004,2022/2/14 上午 12:00:00,5111,攝影機 1290(稅)腳架 250 (稅),1,1467
125,WF20220214004,2022/2/14 上午 12:00:00,6123,攝影機 1290(稅)腳架 250 (稅),1,73
126,WF20220214004,2022/2/14 上午 12:00:00,1113,攝影機 1290(稅)腳架 250 (稅),2,1540
127,WF20220216001,2022/2/16 上午 12:00:00,6134,發票章,1,160
128,WF20220216001,2022/2/16 上午 12:00:00,1113,發票章,2,160
129,WF20220216002,2022/2/16 上午 12:00:00,6113,標準信封、膠水、中油筆、筆,1,36
130,WF20220216002,2022/2/16 上午 12:00:00,1113,標準信封、膠水、中油筆、筆,2,36
131,WF20220216003,2022/2/16 上午 12:00:00,1113,案件支付第一期款,1,10000
132,WF20220216003,2022/2/16 上午 12:00:00,4111,案件支付第一期款,2,9523
133,WF20220216003,2022/2/16 上午 12:00:00,6123,案件支付第一期款,2,477
134,WF20220216004,2022/2/16 上午 12:00:00,6134,一站式變更登業登記地費用,1,715
135,WF20220216004,2022/2/16 上午 12:00:00,1113,一站式變更登業登記地費用,2,715
136,WF20220217001,2022/2/17 上午 12:00:00,5111,零件銷售-發票寄送,1,28
137,WF20220217001,2022/2/17 上午 12:00:00,1113,零件銷售-發票寄送,2,28
138,WF20220218001,2022/2/18 上午 12:00:00,6114,油資,1,445
139,WF20220218001,2022/2/18 上午 12:00:00,6123,油資,1,22
140,WF20220218001,2022/2/18 上午 12:00:00,1113,油資,2,467
141,WF20220220001,2022/2/20 上午 12:00:00,6114,油資,1,476
142,WF20220220001,2022/2/20 上午 12:00:00,6123,油資,1,24
143,WF20220220001,2022/2/20 上午 12:00:00,1113,油資,2,500
144,WF20220220002,2022/2/20 上午 12:00:00,6114,停車費,1,60
145,WF20220220002,2022/2/20 上午 12:00:00,1113,停車費,2,60
146,WF20220220003,2022/2/20 上午 12:00:00,6114,停車費,1,30
147,WF20220220003,2022/2/20 上午 12:00:00,1113,停車費,2,30
148,WF20220223001,2022/2/23 上午 12:00:00,6134,百貨用品,1,104
149,WF20220223001,2022/2/23 上午 12:00:00,6123,百貨用品,1,5
150,WF20220223001,2022/2/23 上午 12:00:00,1113,百貨用品,2,109
151,WF20220223002,2022/2/23 上午 12:00:00,4111,銷售網路線、usb延長線、6插6開15尺延長線,1,632
152,WF20220223002,2022/2/23 上午 12:00:00,2222,銷售網路線、usb延長線、6插6開15尺延長線,2,632
153,WF20220223003,2022/2/23 上午 12:00:00,6134,電燙斗,1,398
154,WF20220223003,2022/2/23 上午 12:00:00,6115,電燙斗,1,57
155,WF20220223003,2022/2/23 上午 12:00:00,6123,電燙斗,1,23
156,WF20220223003,2022/2/23 上午 12:00:00,1113,電燙斗,2,478
157,WF20220224001,2022/2/24 上午 12:00:00,6134,螺母-6mm 5H修理,1,9
158,WF20220224001,2022/2/24 上午 12:00:00,1113,螺母-6mm 5H修理,2,9
159,WF20220225001,2022/2/25 上午 12:00:00,1266,預付薪資發放,1,11000
160,WF20220225001,2022/2/25 上午 12:00:00,1113,預付薪資發放,2,11000
161,WF20220225002,2022/2/25 上午 12:00:00,6134,管理費用-負責人津貼,1,247
162,WF20220225002,2022/2/25 上午 12:00:00,6123,管理費用-負責人津貼,1,12
163,WF20220225002,2022/2/25 上午 12:00:00,1113,管理費用-負責人津貼,2,259
164,WF20220227001,2022/2/27 上午 12:00:00,6134,螺絲-機械- 5/32*1.25,1,6
165,WF20220227001,2022/2/27 上午 12:00:00,1113,螺絲-機械- 5/32*1.25,2,6
