序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,發票日期,種類,狀態,
2044,5月份郵電費,6116,1,WF20200505004,641.00,2020/5/5 上午 12:00:00,5,1,,,0,2,
2045,5月份郵電費,6123,2,WF20200505004,32.00,2020/5/5 上午 12:00:00,5,1,,,0,2,
2046,5月份郵電費,1113,3,WF20200505004,673.00,2020/5/5 上午 12:00:00,5,2,,,0,2,
2105,5月份遠傳業務支出,6123,1,WF20200505005,33.00,2020/5/5 上午 12:00:00,5,1,,,0,2,
3032,5月份遠傳業務支出,1281,1,WF20200505005,655.00,2020/5/5 上午 12:00:00,5,1,,,3,0,
2106,5月份遠傳業務支出,6111,2,WF20200505005,655.00,2020/5/5 上午 12:00:00,5,1,,,0,2,
2104,5月份遠傳業務支出,1113,3,WF20200505005,33.00,2020/5/5 上午 12:00:00,5,2,,,0,2,
2113,109年5-7月投資及商媒支付,1262,1,WF20200505006,1530.00,2020/5/5 上午 12:00:00,5,1,,,0,2,
2114,109年5-7月投資及商媒支付,1113,2,WF20200505006,1530.00,2020/5/5 上午 12:00:00,5,2,,,0,2,
2124,業主增資,1113,1,WF20200505007,20000.00,2020/5/5 上午 12:00:00,5,1,,,0,2,
2125,業主增資,3113,2,WF20200505007,20000.00,2020/5/5 上午 12:00:00,5,2,,,0,2,
2107,4月份中華業務支出,6111,1,WF20200505008,697.00,2020/5/5 上午 12:00:00,5,1,,,0,2,
2108,4月份中華業務支出,6123,2,WF20200505008,24.00,2020/5/5 上午 12:00:00,5,1,,,0,2,
2109,4月份中華業務支出,1281,3,WF20200505008,697.00,2020/5/5 上午 12:00:00,5,2,,,0,2,
2110,4月份中華業務支出,1113,4,WF20200505008,24.00,2020/5/5 上午 12:00:00,5,2,,,0,2,
3029,5月份中華業務支出-蕭副總-未報帳-給予預支,1261,1,WF20200505009,164.00,2020/5/5 上午 12:00:00,5,1,,,3,0,
3030,5月份業務支出,6123,2,WF20200505009,8.00,2020/5/5 上午 12:00:00,5,1,,,3,0,
3031,5月份業務支出,1113,3,WF20200505009,172.00,2020/5/5 上午 12:00:00,5,2,,,3,0,
2056,4月份薪資支出-公司勞保,2171,1,WF20200510001,2474.00,2020/5/10 上午 12:00:00,5,1,,,0,2,
2057,4月份薪資支出,2191,2,WF20200510001,34800.00,2020/5/10 上午 12:00:00,5,1,,,0,2,
2058,4月份薪資支出,1113,3,WF20200510001,37274.00,2020/5/10 上午 12:00:00,5,2,,,0,2,
2059,4月份勞健保支出,6111,1,WF20200510002,2328.00,2020/5/10 上午 12:00:00,5,1,,,0,2,
2060,4月份勞健保支出,1281,2,WF20200510002,2328.00,2020/5/10 上午 12:00:00,5,2,,,0,2,
2074,透過損益按公允價值衡量之金融資產,6123,1,WF20200511001,27.00,2020/5/11 上午 12:00:00,5,1,,,0,2,
2075,透過損益按公允價值衡量之金融資產,7243,2,WF20200511001,20.00,2020/5/11 上午 12:00:00,5,1,,,0,2,
2076,透過損益按公允價值衡量之金融資產,1113,3,WF20200511001,9003.00,2020/5/11 上午 12:00:00,5,1,,,0,2,
2079,透過損益按公允價值衡量之金融資產,1122,4,WF20200511001,136.00,2020/5/11 上午 12:00:00,5,1,,,0,2,
2077,透過損益按公允價值衡量之金融資產,1121,5,WF20200511001,9003.00,2020/5/11 上午 12:00:00,5,2,,,0,2,
2078,透過損益按公允價值衡量之金融資產,7161,6,WF20200511001,183.00,2020/5/11 上午 12:00:00,5,2,,,0,2,
2126,業主增資,1113,1,WF20200511002,22000.00,2020/5/11 上午 12:00:00,5,1,,,0,2,
2127,業主增資,3113,2,WF20200511002,22000.00,2020/5/11 上午 12:00:00,5,2,,,0,2,
2080,透過損益按公允價值衡量之金融資產,6123,1,WF20200513001,20.00,2020/5/13 上午 12:00:00,5,1,,,0,2,
2081,透過損益按公允價值衡量之金融資產,7243,2,WF20200513001,19.00,2020/5/13 上午 12:00:00,5,1,,,0,2,
2082,透過損益按公允價值衡量之金融資產,1113,3,WF20200513001,6351.00,2020/5/13 上午 12:00:00,5,1,,,0,2,
2084,透過損益按公允價值衡量之金融資產,7162,4,WF20200513001,9.00,2020/5/13 上午 12:00:00,5,1,,,0,2,
2083,透過損益按公允價值衡量之金融資產,1121,5,WF20200513001,6351.00,2020/5/13 上午 12:00:00,5,2,,,0,2,
2085,透過損益按公允價值衡量之金融資產,1122,6,WF20200513001,48.00,2020/5/13 上午 12:00:00,5,2,,,0,2,
2128,0513手續費收入,1113,1,WF20200513002,209.00,2020/5/13 上午 12:00:00,5,1,,,0,2,
2129,0513手續費收入,7243,2,WF20200513002,209.00,2020/5/13 上午 12:00:00,5,2,,,0,2,
2098,透過損益按公允價值衡量之金融資產,1121,1,WF20200520001,20703.00,2020/5/20 上午 12:00:00,5,1,,,0,2,
2099,透過損益按公允價值衡量之金融資產,7243,2,WF20200520001,29.00,2020/5/20 上午 12:00:00,5,1,,,0,2,
2100,透過損益按公允價值衡量之金融資產,1113,3,WF20200520001,20732.00,2020/5/20 上午 12:00:00,5,2,,,0,2,
2092,透過損益按公允價值衡量之金融資產,1113,1,WF20200521001,75082.00,2020/5/21 上午 12:00:00,5,1,,,0,2,
2093,透過損益按公允價值衡量之金融資產,7243,2,WF20200521001,107.00,2020/5/21 上午 12:00:00,5,1,,,0,2,
2094,透過損益按公允價值衡量之金融資產,6123,3,WF20200521001,161.00,2020/5/21 上午 12:00:00,5,1,,,0,2,
2097,透過損益按公允價值衡量之金融資產,1122,4,WF20200521001,660.00,2020/5/21 上午 12:00:00,5,1,,,0,2,
2095,透過損益按公允價值衡量之金融資產,1121,5,WF20200521001,75082.00,2020/5/21 上午 12:00:00,5,2,,,0,2,
2096,透過損益按公允價值衡量之金融資產,7161,6,WF20200521001,928.00,2020/5/21 上午 12:00:00,5,2,,,0,2,
2101,透過損益按公允價值衡量之金融資產,1121,1,WF20200521002,41900.00,2020/5/21 上午 12:00:00,5,1,,,0,2,
2102,透過損益按公允價值衡量之金融資產,7243,2,WF20200521002,59.00,2020/5/21 上午 12:00:00,5,1,,,0,2,
2103,透過損益按公允價值衡量之金融資產,1113,3,WF20200521002,41959.00,2020/5/21 上午 12:00:00,5,2,,,0,2,
2130,業主取回現金作使用,3113,1,WF20200522001,3800.00,2020/5/22 上午 12:00:00,5,1,,,0,2,
2131,業主取回現金作使用,1113,2,WF20200522001,3800.00,2020/5/22 上午 12:00:00,5,2,,,0,2,
2118,加油,6114,1,WF20200523001,87.00,2020/5/23 上午 12:00:00,5,1,,,0,2,
2119,加油,6123,2,WF20200523001,4.00,2020/5/23 上午 12:00:00,5,1,,,0,2,
2120,加油,1113,3,WF20200523001,91.00,2020/5/23 上午 12:00:00,5,2,,,0,2,
2061,6月份遠傳業務支出,6111,1,WF20200529001,747.00,2020/5/29 上午 12:00:00,5,1,,,0,2,
2062,6月份遠傳業務支出,6123,2,WF20200529001,37.00,2020/5/29 上午 12:00:00,5,1,,,0,2,
2063,6月份遠傳業務支出,1113,3,WF20200529001,37.00,2020/5/29 上午 12:00:00,5,2,,,0,2,
2064,6月份遠傳業務支出,1261,4,WF20200529001,747.00,2020/5/29 上午 12:00:00,5,2,,,0,2,
2050,5月份薪資支出,6111,1,WF20200531001,31086.00,2020/5/31 上午 12:00:00,5,1,,,0,2,
2051,5月份勞健保,1281,2,WF20200531001,2328.00,2020/5/31 上午 12:00:00,5,1,,,0,2,
2052,5月份保險費-公司勞保,6120,3,WF20200531001,2474.00,2020/5/31 上午 12:00:00,5,1,,,0,2,
2053,6月份遠傳業務支出,1261,4,WF20200531001,747.00,2020/5/31 上午 12:00:00,5,1,,,0,2,
2054,5月份薪資-公司勞保,2171,5,WF20200531001,2474.00,2020/5/31 上午 12:00:00,5,2,,,0,2,
2055,5月份薪資,2191,6,WF20200531001,34161.00,2020/5/31 上午 12:00:00,5,2,,,0,2,
2121,加油,6114,1,WF20200531002,96.00,2020/5/31 上午 12:00:00,5,1,,,0,2,
2122,加油,6123,2,WF20200531002,5.00,2020/5/31 上午 12:00:00,5,1,,,0,2,
2123,加油,1113,3,WF20200531002,101.00,2020/5/31 上午 12:00:00,5,2,,,0,2,
