序號,會計編碼,排序,計算編碼,借/貸,金額,描述,類別,報表型式,建立日期,
2671,6129,34,0,1,0.0000,職工福利,營業淨利,1,2021/2/1 下午 05:05:56,
2672,6130,35,0,1,10733.0000,研究發展費,營業淨利,1,2021/2/1 下午 05:05:56,
2673,6131,36,0,1,0.0000,佣金支出,營業淨利,1,2021/2/1 下午 05:05:56,
2674,6132,37,0,1,0.0000,訓練費,營業淨利,1,2021/2/1 下午 05:05:56,
2675,6134,38,0,1,1389.0000,其他費用,營業淨利,1,2021/2/1 下午 05:05:56,
2676,,39,7,3,-352125.0000,營業淨利,營業淨利,1,2021/2/1 下午 05:05:56,
2677,,40,8,3,-43.9100,營業淨利率,營業淨利,1,2021/2/1 下午 05:05:56,
2678,,41,9,3,10783.0000,非營業收入總額,非營業收入總額,2,2021/2/1 下午 05:05:56,
2679,7141,42,0,2,6130.0000,投資收益,非營業收入總額,2,2021/2/1 下午 05:05:56,
2680,7191,43,0,2,0.0000,股利及盈餘,非營業收入總額,2,2021/2/1 下午 05:05:56,
2681,7111,44,0,2,7.0000,利息收入,非營業收入總額,2,2021/2/1 下午 05:05:56,
2682,7121,45,0,2,0.0000,租賃收入,非營業收入總額,2,2021/2/1 下午 05:05:56,
2683,7161,46,0,2,809.0000,處分資產利益,非營業收入總額,2,2021/2/1 下午 05:05:56,
2684,7232,47,0,2,0.0000,佣金收入,非營業收入總額,2,2021/2/1 下午 05:05:56,
2685,7181,48,0,2,0.0000,兌換盈益,非營業收入總額,2,2021/2/1 下午 05:05:56,
2686,7247,49,0,2,3837.0000,其他收入,非營業收入總額,2,2021/2/1 下午 05:05:56,
2687,7236,69,0,2,0.0000,手續費收入,非營業收入總額,2,2021/2/1 下午 05:05:56,
2688,,50,10,3,-6513.0000,非營業損失及費用總額,非營業損失總額,3,2021/2/1 下午 05:05:56,
2689,7151,51,0,1,0.0000,利息支出,非營業損失總額,3,2021/2/1 下午 05:05:56,
2690,7162,52,0,1,5578.0000,投資損失,非營業損失總額,3,2021/2/1 下午 05:05:57,
2691,7202,53,0,1,0.0000,處分資產損失,非營業損失總額,3,2021/2/1 下午 05:05:57,
2692,7242,54,0,1,0.0000,災害損失,非營業損失總額,3,2021/2/1 下午 05:05:57,
2693,7182,55,0,1,0.0000,兌換虧損,非營業損失總額,3,2021/2/1 下午 05:05:57,
2694,7243,56,0,1,935.0000,其他損失,非營業損失總額,3,2021/2/1 下午 05:05:57,
2695,,57,11,3,-347855.0000,全年所得額,損益及課稅所得,4,2021/2/1 下午 05:05:57,
2696,,58,12,3,-18.5000,純益率,損益及課稅所得,4,2021/2/1 下午 05:05:57,
2697,,59,0,0,0.0000,國際金融免稅所得,損益及課稅所得,4,2021/2/1 下午 05:05:57,
2698,,60,15,3,-4769.0000,證券交易所得(損失),損益及課稅所得,4,2021/2/1 下午 05:05:57,
2699,,61,0,0,0.0000,免徵所得稅之出售土地利益(損失),損益及課稅所得,4,2021/2/1 下午 05:05:57,
2700,,62,0,0,0.0000,合於獎勵規定之免稅所得,損益及課稅所得,4,2021/2/1 下午 05:05:57,
2701,,63,0,0,0.0000,適用噸位稅制收入之所得(損失),損益及課稅所得,4,2021/2/1 下午 05:05:57,
2702,,64,0,0,0.0000,依船舶淨噸位計算之所得,損益及課稅所得,4,2021/2/1 下午 05:05:57,
2703,,65,0,0,0.0000,中小企業增僱員工薪資費用加成減除金額,損益及課稅所得,4,2021/2/1 下午 05:05:57,
2704,,66,0,9,0.0000,,損益及課稅所得,4,2021/2/1 下午 05:05:57,
2705,,67,13,3,0.0000,前十年核定虧損本年度扣除額,損益及課稅所得,4,2021/2/1 下午 05:05:57,
2706,,68,14,3,0.0000,課稅所得額,損益及課稅所得,4,2021/2/1 下午 05:05:57,
