序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,核對,紙本,電子,金融資產,銀行
2849,2月份郵電費,6116,1,WF20200131002,643,2020/1/31 上午 12:00:00,1,1,,v,,,,
2851,2月份郵電費,6123,2,WF20200131002,32,2020/1/31 上午 12:00:00,1,1,,v,,,,
2853,2月份郵電費,2171,3,WF20200131002,675,2020/1/31 上午 12:00:00,1,2,,v,,,,
2854,1月份薪資支出,6111,1,WF20200131003,31937,2020/1/31 上午 12:00:00,1,1,,,,,,
2855,1月份勞健保,1281,2,WF20200131003,2328,2020/1/31 上午 12:00:00,1,1,,,,,,
2856,1月份公司勞保,6120,3,WF20200131003,2474,2020/1/31 上午 12:00:00,1,1,,,,,,
2857,1月份業務支出 ,6111,4,WF20200131003,475,2020/1/31 上午 12:00:00,1,1,,,,v,,
2858,1月份業務支出 ,1261,5,WF20200131003,475,2020/1/31 上午 12:00:00,1,2,,,,v,,
2859,1月份勞健保,2171,6,WF20200131003,2328,2020/1/31 上午 12:00:00,1,2,,,,,,
2860,1月份薪資支出,2191,7,WF20200131003,34265,2020/1/31 上午 12:00:00,1,2,,,,,,
2861,預付投資、最新消息媒體費,6134,1,WF20200131004,775,2020/1/31 上午 12:00:00,1,1,,,,,,
2862,預付投資、最新消息媒體費,1262,2,WF20200131004,775,2020/1/31 上午 12:00:00,1,2,,,,,,
2864,2月份辦公費用,6112,1,WF20200201001,500,2020/2/1 上午 12:00:00,2,1,,,,,,
2866,2月份辦公費用,1262,2,WF20200201001,500,2020/2/1 上午 12:00:00,2,2,,,,,,
2868,加油,6114,1,WF20200202001,130,2020/2/2 上午 12:00:00,2,1,YB22993943,v,,,,
2870,加油,6123,2,WF20200202001,7,2020/2/2 上午 12:00:00,2,1,YB22993943,v,,,,
2872,加油,1113,3,WF20200202001,137,2020/2/2 上午 12:00:00,2,2,YB22993943,v,,,,
2874,預付109年3月租金,1262,1,WF20200209001,500,2020/2/9 上午 12:00:00,2,1,,v,,,,
2876,預付109年3月租金,1113,2,WF20200209001,500,2020/2/9 上午 12:00:00,2,2,,v,,,,
2877,109年1月份薪資,2191,1,WF20200210001,34265,2020/2/10 上午 12:00:00,2,1,,,,,,
2878,109年1月份薪資,2171,2,WF20200210001,2328,2020/2/10 上午 12:00:00,2,1,,,,,,
2880,109年1月份薪資,6111,4,WF20200210001,2328,2020/2/10 上午 12:00:00,2,1,,,,,,
2879,109年1月份薪資,1113,3,WF20200210001,36593,2020/2/10 上午 12:00:00,2,2,,,,,,
2881,109年1月份薪資,1281,5,WF20200210001,2328,2020/2/10 上午 12:00:00,2,2,,,,,,
2883,加油,6114,1,WF20200210002,124,2020/2/10 上午 12:00:00,2,1,YB22994095,v,,,,
2885,加油,6123,2,WF20200210002,6,2020/2/10 上午 12:00:00,2,1,YB22994095,v,,,,
2887,加油,1113,3,WF20200210002,130,2020/2/10 上午 12:00:00,2,2,YB22994095,v,,,,
2889,1.2m充電傳輸、DVD-R 10入,1239,1,WF20200214001,112,2020/2/14 上午 12:00:00,2,1,YA40506518,v,,,,
2891,1.2m充電傳輸、DVD-R 10入,6123,2,WF20200214001,6,2020/2/14 上午 12:00:00,2,1,YA40506518,v,,,,
2893,1.2m充電傳輸、DVD-R 10入,1113,3,WF20200214001,118,2020/2/14 上午 12:00:00,2,2,YA40506518,v,,,,
2894,2月份郵電費,2171,1,WF20200214002,675,2020/2/14 上午 12:00:00,2,1,YC39737030,v,,,,
2896,2月份郵電費,1113,2,WF20200214002,675,2020/2/14 上午 12:00:00,2,2,YC39737030,v,,,,
2898,工業局審查文件 ,6134,1,WF20200217001,92,2020/2/17 上午 12:00:00,2,1,,v,,,,
2900,工業局審查文件 ,1113,2,WF20200217001,92,2020/2/17 上午 12:00:00,2,2,,v,,,,
2902,加油,6114,1,WF20200219001,122,2020/2/19 上午 12:00:00,2,1,XV00713748,v,,,,
2904,加油,6123,2,WF20200219001,6,2020/2/19 上午 12:00:00,2,1,XV00713748,v,,,,
2906,加油,1113,3,WF20200219001,128,2020/2/19 上午 12:00:00,2,2,XV00713748,v,,,,
2908,加油,6114,1,WF20200229001,128,2020/2/29 上午 12:00:00,2,1,YB22994438,v,,,,
2910,加油,6123,2,WF20200229001,6,2020/2/29 上午 12:00:00,2,1,YB22994438,v,,,,
2912,加油,1113,3,WF20200229001,134,2020/2/29 上午 12:00:00,2,2,YB22994438,v,,,,
2914,2月份業務支出,1261,1,WF20200229002,697,2020/2/29 上午 12:00:00,2,1,,,,v,,
2916,2月份業務支出,6123,2,WF20200229002,35,2020/2/29 上午 12:00:00,2,1,,,,v,,
2918,2月份業務支出,2171,3,WF20200229002,732,2020/2/29 上午 12:00:00,2,2,,,,v,,
2919,預付投資、最新消息媒體費,6134,1,WF20200229003,515,2020/2/29 上午 12:00:00,2,1,,,,,,
2920,預付投資、最新消息媒體費,1262,2,WF20200229003,515,2020/2/29 上午 12:00:00,2,2,,,,,,
2921,2月份薪資支出,6111,1,WF20200229004,31775,2020/2/29 上午 12:00:00,2,1,,,,,,
2922,2月份勞健保,1281,2,WF20200229004,2328,2020/2/29 上午 12:00:00,2,1,,,,,,
2923,2月份公司勞保,6120,3,WF20200229004,2474,2020/2/29 上午 12:00:00,2,1,,,,,,
2924,2月份勞健保,2171,4,WF20200229004,2474,2020/2/29 上午 12:00:00,2,2,,,,,,
2925,2月份薪資支出,2191,5,WF20200229004,34103,2020/2/29 上午 12:00:00,2,2,,,,,,
1740,3月份office,6112,1,WF20200301001,500,2020/3/1 上午 12:00:00,3,1,,,,,,
1741,3月份office,1262,2,WF20200301001,500,2020/3/1 上午 12:00:00,3,2,,,,,,
1760,3月份預付投資、最新消息媒體費,6134,1,WF20200301002,510,2020/3/1 上午 12:00:00,3,1,,,,,,
1761,3月份預付投資、最新消息媒體費,1262,2,WF20200301002,510,2020/3/1 上午 12:00:00,3,2,,,,,,
1762,3月份郵電費,6116,1,WF20200317001,696,2020/3/17 上午 12:00:00,3,1,AP-39606962,v,,,,
1763,3月份郵電費,6123,2,WF20200317001,35,2020/3/17 上午 12:00:00,3,1,AP-39606962,v,,,,
1764,3月份郵電費,1113,3,WF20200317001,731,2020/3/17 上午 12:00:00,3,2,AP-39606962,v,,,,
1742,3月份office365,6112,1,WF20200302001,285,2020/3/2 上午 12:00:00,3,1,,v,,,,
1743,3月份office365,6123,2,WF20200302001,14,2020/3/2 上午 12:00:00,3,1,,v,,,,
1744,3月份office365,1113,3,WF20200302001,299,2020/3/2 上午 12:00:00,3,2,,v,,,,
1771,加油,6114,1,WF20200309001,122,2020/3/9 上午 12:00:00,3,1,,,,,,
1772,加油,6123,2,WF20200309001,6,2020/3/9 上午 12:00:00,3,1,,,,,,
1773,加油,1113,3,WF20200309001,128,2020/3/9 上午 12:00:00,3,2,,,,,,
1751,3月份薪資支出,2171,1,WF20200310001,2474,2020/3/10 上午 12:00:00,3,1,,,,,,
1752,3月份薪資支出,2191,2,WF20200310001,34103,2020/3/10 上午 12:00:00,3,1,,,,,,
1753,3月份薪資支出,1113,3,WF20200310001,36577,2020/3/10 上午 12:00:00,3,2,,,,,,
1756,0302-3月份業務支出,6111,1,WF20200310002,697,2020/3/10 上午 12:00:00,3,1,,v,,,,
1757,0302-3月份業務支出,6123,2,WF20200310002,35,2020/3/10 上午 12:00:00,3,1,,v,,,,
1758,0302-3月份業務支出,1113,3,WF20200310002,35,2020/3/10 上午 12:00:00,3,2,,v,,,,
1759,0302-3月份業務支出,1261,4,WF20200310002,697,2020/3/10 上午 12:00:00,3,2,,v,,,,
1754,3月份勞健保支出,6111,1,WF20200310003,2328,2020/3/10 上午 12:00:00,3,1,,,,,,
1755,3月份勞健保支出,1281,2,WF20200310003,2328,2020/3/10 上午 12:00:00,3,2,,,,,,
2032,業主增資,1113,1,WF20200311001,30000,2020/3/11 上午 12:00:00,3,1,,,,,,
2033,業主增資,3113,2,WF20200311001,30000,2020/3/11 上午 12:00:00,3,2,,,,,,
1765,加油,6114,1,WF20200320001,52,2020/3/20 上午 12:00:00,3,1,,,,,,
1766,加油,6123,2,WF20200320001,3,2020/3/20 上午 12:00:00,3,1,,,,,,
1767,加油,1113,3,WF20200320001,55,2020/3/20 上午 12:00:00,3,2,,,,,,
1768,加油,6114,1,WF20200326001,103,2020/3/26 上午 12:00:00,3,1,,,,,,
1769,加油,6123,2,WF20200326001,5,2020/3/26 上午 12:00:00,3,1,,,,,,
1770,加油,1113,3,WF20200326001,108,2020/3/26 上午 12:00:00,3,2,,,,,,
1928,主管辦公用地4月及5月租金預付,1262,1,WF20200329001,1000,2020/3/29 上午 12:00:00,3,1,,,,,,
1927,主管辦公用地4月及5月租金預付,1113,2,WF20200329001,1000,2020/3/29 上午 12:00:00,3,2,,,,,,
1745,3月份薪資,6111,1,WF20200331001,31937,2020/3/31 上午 12:00:00,3,1,,,,,,
1746,3月份勞健保,1281,2,WF20200331001,2328,2020/3/31 上午 12:00:00,3,1,,,,,,
1747,3月份保險費,6120,3,WF20200331001,2474,2020/3/31 上午 12:00:00,3,1,,,,,,
1748,3月份業務支出,1261,4,WF20200331001,357,2020/3/31 上午 12:00:00,3,1,,,,,,
1749,3月份薪資,2171,5,WF20200331001,2474,2020/3/31 上午 12:00:00,3,2,,,,,,
1750,3月份薪資,2191,6,WF20200331001,34622,2020/3/31 上午 12:00:00,3,2,,,,,,
1874,4月份office,6112,1,WF20200401001,500,2020/4/1 上午 12:00:00,4,1,,,,,,
1875,4月份office,1262,2,WF20200401001,500,2020/4/1 上午 12:00:00,4,2,,,,,,
1876,4月份預付投資、最新消息媒體費,6134,1,WF20200401002,510,2020/4/1 上午 12:00:00,4,1,,,,,,
1877,4月份預付投資、最新消息媒體費,1262,2,WF20200401002,510,2020/4/1 上午 12:00:00,4,2,,,,,,
1899,4月份office365,6112,1,WF20200402001,285,2020/4/2 上午 12:00:00,4,1,,v,,,,
1900,4月份office365,6123,2,WF20200402001,14,2020/4/2 上午 12:00:00,4,1,,v,,,,
1901,4月份office365,1113,3,WF20200402001,299,2020/4/2 上午 12:00:00,4,2,,v,,,,
1935,加油,6114,1,WF20200408001,48,2020/4/8 上午 12:00:00,4,1,,,,,,
1936,加油,6123,2,WF20200408001,2,2020/4/8 上午 12:00:00,4,1,,,,,,
1937,加油,1113,3,WF20200408001,50,2020/4/8 上午 12:00:00,4,2,,,,,,
1890,4月份薪資支出,2171,1,WF20200410001,2474,2020/4/10 上午 12:00:00,4,1,,,,,,
1891,4月份薪資支出,2191,2,WF20200410001,34622,2020/4/10 上午 12:00:00,4,1,,,,,,
1892,4月份薪資支出,1113,3,WF20200410001,37096,2020/4/10 上午 12:00:00,4,2,,,,,,
1893,4月份勞健保支出,6111,1,WF20200410002,2328,2020/4/10 上午 12:00:00,4,1,,,,,,
1894,4月份勞健保支出,1281,2,WF20200410002,2328,2020/4/10 上午 12:00:00,4,2,,,,,,
2034,業主增資,1113,1,WF20200410003,31937,2020/4/10 上午 12:00:00,4,1,,,,,,
2035,業主增資,3113,2,WF20200410003,31937,2020/4/10 上午 12:00:00,4,2,,,,,,
1954,透過損益按公允價值衡量之金融資產,7243,1,WF20200414001,20,2020/4/14 上午 12:00:00,4,1,,,,,V,
1956,透過損益按公允價值衡量之金融資產,1121,2,WF20200414001,6300,2020/4/14 上午 12:00:00,4,1,,,,,V,
1955,透過損益按公允價值衡量之金融資產,1113,3,WF20200414001,6320,2020/4/14 上午 12:00:00,4,2,,,,,V,
1957,透過損益按公允價值衡量之金融資產,7243,1,WF20200414002,20,2020/4/14 上午 12:00:00,4,1,,,,,V,
1959,透過損益按公允價值衡量之金融資產,1121,2,WF20200414002,8380,2020/4/14 上午 12:00:00,4,1,,,,,V,
1958,透過損益按公允價值衡量之金融資產,1113,3,WF20200414002,8400,2020/4/14 上午 12:00:00,4,2,,,,,V,
1997,透過損益按公允價值衡量之金融資產,1121,1,WF20200414003,34750,2020/4/14 上午 12:00:00,4,1,,,,,V,
1998,透過損益按公允價值衡量之金融資產,7243,2,WF20200414003,49,2020/4/14 上午 12:00:00,4,1,,,,,V,
1999,透過損益按公允價值衡量之金融資產,1113,3,WF20200414003,34799,2020/4/14 上午 12:00:00,4,2,,,,,V,
1929,4月份郵電費,6116,1,WF20200415001,645,2020/4/15 上午 12:00:00,4,1,,v,,,,
1930,4月份郵電費,6123,2,WF20200415001,32,2020/4/15 上午 12:00:00,4,1,,v,,,,
1931,4月份郵電費,1113,3,WF20200415001,677,2020/4/15 上午 12:00:00,4,2,,v,,,,
1939,進貨-庫存牙膏8隻-62*4,1231,2,WF20200415002,248,2020/4/15 上午 12:00:00,4,1,,,,,,
1941,業主提供貨品-庫存牙膏8隻-62*6-155*2,3113,4,WF20200415002,248,2020/4/15 上午 12:00:00,4,2,,,,,,
1942,銷售2隻美白牙膏、2隻護理牙膏,5111,1,WF20200415003,248,2020/4/15 上午 12:00:00,4,1,,,,,,
1943,銷售2隻美白牙膏、2隻護理牙膏,1231,2,WF20200415003,248,2020/4/15 上午 12:00:00,4,2,,,,,,
1944,銷售2隻美白牙膏、2隻護理牙膏,1191,1,WF20200415004,410,2020/4/15 上午 12:00:00,4,1,,,,,,
1946,銷售2隻美白牙膏、2隻護理牙膏,4111,3,WF20200415004,410,2020/4/15 上午 12:00:00,4,2,,,,,,
1953,購買三聯式發票及二聯式發票,6134,1,WF20200415005,33,2020/4/15 上午 12:00:00,4,1,,,,,,
1952,購買三聯式發票及二聯式發票,1113,2,WF20200415005,33,2020/4/15 上午 12:00:00,4,2,,,,,,
1938,貨品寄送運費,5111,1,WF20200415006,70,2020/4/15 上午 12:00:00,4,1,,,,,,
1940,貨品寄送運費,1113,3,WF20200415006,70,2020/4/15 上午 12:00:00,4,2,,,,,,
1963,透過損益按公允價值衡量之金融資產,1113,1,WF20200416001,13544,2020/4/16 上午 12:00:00,4,1,,,,,V,
1964,透過損益按公允價值衡量之金融資產,7243,2,WF20200416001,20,2020/4/16 上午 12:00:00,4,1,,,,,V,
1965,透過損益按公允價值衡量之金融資產,6123,3,WF20200416001,40,2020/4/16 上午 12:00:00,4,1,,,,,V,
1966,透過損益按公允價值衡量之金融資產,7162,4,WF20200416001,15547,2020/4/16 上午 12:00:00,4,1,,,,,V,
1967,透過損益按公允價值衡量之金融資產,1121,5,WF20200416001,29151,2020/4/16 上午 12:00:00,4,2,,,,,V,
1968,透過損益按公允價值衡量之金融資產,1113,1,WF20200416002,8465,2020/4/16 上午 12:00:00,4,1,,,,,V,
1969,透過損益按公允價值衡量之金融資產,7243,2,WF20200416002,20,2020/4/16 上午 12:00:00,4,1,,,,,V,
1970,透過損益按公允價值衡量之金融資產,6123,3,WF20200416002,25,2020/4/16 上午 12:00:00,4,1,,,,,V,
1971,透過損益按公允價值衡量之金融資產,7161,4,WF20200416002,65,2020/4/16 上午 12:00:00,4,2,,,,,V,
1972,透過損益按公允價值衡量之金融資產,1121,5,WF20200416002,8380,2020/4/16 上午 12:00:00,4,2,,,,,V,
2001,透過損益按公允價值衡量之金融資產之評價調整,1122,1,WF20200416002,65,2020/4/16 上午 12:00:00,4,2,,,,,V,
1973,透過損益按公允價值衡量之金融資產,1121,1,WF20200416003,42550,2020/4/16 上午 12:00:00,4,1,,,,,V,
1974,透過損益按公允價值衡量之金融資產,7243,2,WF20200416003,60,2020/4/16 上午 12:00:00,4,1,,,,,V,
1975,透過損益按公允價值衡量之金融資產,1113,3,WF20200416003,42610,2020/4/16 上午 12:00:00,4,2,,,,,V,
1976,透過損益按公允價值衡量之金融資產,1121,1,WF20200416004,8510,2020/4/16 上午 12:00:00,4,1,,,,,V,
1977,透過損益按公允價值衡量之金融資產,7243,2,WF20200416004,20,2020/4/16 上午 12:00:00,4,1,,,,,V,
1978,透過損益按公允價值衡量之金融資產,1113,3,WF20200416004,8530,2020/4/16 上午 12:00:00,4,2,,,,,V,
1979,透過損益按公允價值衡量之金融資產,1113,1,WF20200416005,34797,2020/4/16 上午 12:00:00,4,1,,,,,V,
1980,透過損益按公允價值衡量之金融資產,7243,2,WF20200416005,49,2020/4/16 上午 12:00:00,4,1,,,,,V,
1981,透過損益按公允價值衡量之金融資產,7162,3,WF20200416005,2,2020/4/16 上午 12:00:00,4,1,,,,,V,
1982,透過損益按公允價值衡量之金融資產,6123,4,WF20200416005,104,2020/4/16 上午 12:00:00,4,1,,,,,V,
1983,透過損益按公允價值衡量之金融資產,1121,5,WF20200416005,34750,2020/4/16 上午 12:00:00,4,2,,,,,V,
1984,透過損益按公允價值衡量之金融資產之評價調整,1122,6,WF20200416005,202,2020/4/16 上午 12:00:00,4,2,,,,,V,
2036,業主增資,1113,1,WF20200416006,40000,2020/4/16 上午 12:00:00,4,1,,,,,,
2037,業主增資,3113,2,WF20200416006,40000,2020/4/16 上午 12:00:00,4,2,,,,,,
1985,透過損益按公允價值衡量之金融資產,1113,1,WF20200417001,17165,2020/4/17 上午 12:00:00,4,1,,,,,V,
1986,透過損益按公允價值衡量之金融資產,7243,2,WF20200417001,24,2020/4/17 上午 12:00:00,4,1,,,,,V,
1987,透過損益按公允價值衡量之金融資產,6123,3,WF20200417001,51,2020/4/17 上午 12:00:00,4,1,,,,,V,
1988,透過損益按公允價值衡量之金融資產,1121,4,WF20200417001,17020,2020/4/17 上午 12:00:00,4,2,,,,,V,
1989,透過損益按公允價值衡量之金融資產,7161,5,WF20200417001,121,2020/4/17 上午 12:00:00,4,2,,,,,V,
1990,透過損益按公允價值衡量之金融資產之評價調整,1122,6,WF20200417001,99,2020/4/17 上午 12:00:00,4,2,,,,,V,
1991,透過損益按公允價值衡量之金融資產,1113,1,WF20200417002,34567,2020/4/17 上午 12:00:00,4,1,,,,,V,
1992,透過損益按公允價值衡量之金融資產,7243,2,WF20200417002,49,2020/4/17 上午 12:00:00,4,1,,,,,V,
1993,透過損益按公允價值衡量之金融資產,6123,3,WF20200417002,104,2020/4/17 上午 12:00:00,4,1,,,,,V,
1994,透過損益按公允價值衡量之金融資產,1121,4,WF20200417002,34047,2020/4/17 上午 12:00:00,4,2,,,,,V,
1995,透過損益按公允價值衡量之金融資產,7161,5,WF20200417002,471,2020/4/17 上午 12:00:00,4,2,,,,,V,
1996,透過損益按公允價值衡量之金融資產之評價調整,1122,6,WF20200417002,202,2020/4/17 上午 12:00:00,4,2,,,,,V,
2038,應收帳款入帳410,1113,1,WF20200418001,410,2020/4/18 上午 12:00:00,4,1,,,,,,
2039,應收帳款入帳410,1191,2,WF20200418001,410,2020/4/18 上午 12:00:00,4,2,,,,,,
2002,透過損益按公允價值衡量之金融資產,1121,1,WF20200420001,8590,2020/4/20 上午 12:00:00,4,1,,,,,V,
2003,透過損益按公允價值衡量之金融資產,7243,2,WF20200420001,20,2020/4/20 上午 12:00:00,4,1,,,,,V,
2004,透過損益按公允價值衡量之金融資產,1113,3,WF20200420001,8610,2020/4/20 上午 12:00:00,4,2,,,,,V,
1947,加油,6114,1,WF20200422001,86,2020/4/22 上午 12:00:00,4,1,,,,,,
1948,加油,6123,2,WF20200422001,4,2020/4/22 上午 12:00:00,4,1,,,,,,
1949,加油,1113,3,WF20200422001,90,2020/4/22 上午 12:00:00,4,2,,,,,,
2005,透過損益按公允價值衡量之金融資產,1121,1,WF20200422002,24675,2020/4/22 上午 12:00:00,4,1,,,,,V,
2006,透過損益按公允價值衡量之金融資產,7243,2,WF20200422002,35,2020/4/22 上午 12:00:00,4,1,,,,,V,
2007,透過損益按公允價值衡量之金融資產,1113,3,WF20200422002,24710,2020/4/22 上午 12:00:00,4,2,,,,,V,
2008,透過損益按公允價值衡量之金融資產,1113,1,WF20200427001,26135,2020/4/27 上午 12:00:00,4,1,,,,,V,
2009,透過損益按公允價值衡量之金融資產,7243,2,WF20200427001,37,2020/4/27 上午 12:00:00,4,1,,,,,V,
2010,透過損益按公允價值衡量之金融資產,6123,3,WF20200427001,78,2020/4/27 上午 12:00:00,4,1,,,,,V,
2011,透過損益按公允價值衡量之金融資產之評價調整,1122,4,WF20200427001,152,2020/4/27 上午 12:00:00,4,2,,,,,V,
2012,透過損益按公允價值衡量之金融資產,7161,5,WF20200427001,1425,2020/4/27 上午 12:00:00,4,2,,,,,V,
2013,透過損益按公允價值衡量之金融資產,1121,6,WF20200427001,24673,2020/4/27 上午 12:00:00,4,2,,,,,V,
2014,透過損益按公允價值衡量之金融資產,1121,1,WF20200427002,21300,2020/4/27 上午 12:00:00,4,1,,,,,V,
2015,透過損益按公允價值衡量之金融資產,7243,2,WF20200427002,30,2020/4/27 上午 12:00:00,4,1,,,,,V,
2016,透過損益按公允價值衡量之金融資產,1113,3,WF20200427002,21330,2020/4/27 上午 12:00:00,4,2,,,,,V,
2017,透過損益按公允價值衡量之金融資產,1113,1,WF20200427003,6461,2020/4/27 上午 12:00:00,4,1,,,,,V,
2018,透過損益按公允價值衡量之金融資產,7243,2,WF20200427003,20,2020/4/27 上午 12:00:00,4,1,,,,,V,
2019,透過損益按公允價值衡量之金融資產,6123,3,WF20200427003,19,2020/4/27 上午 12:00:00,4,1,,,,,V,
2020,透過損益按公允價值衡量之金融資產,7162,4,WF20200427003,141,2020/4/27 上午 12:00:00,4,2,,,,,V,
2021,透過損益按公允價值衡量之金融資產之評價調整,1122,5,WF20200427003,59,2020/4/27 上午 12:00:00,4,2,,,,,V,
2022,透過損益按公允價值衡量之金融資產,1121,6,WF20200427003,6300,2020/4/27 上午 12:00:00,4,2,,,,,V,
2023,透過損益按公允價值衡量之金融資產,1121,1,WF20200427004,18850,2020/4/27 上午 12:00:00,4,1,,,,,V,
2024,透過損益按公允價值衡量之金融資產,7243,2,WF20200427004,26,2020/4/27 上午 12:00:00,4,1,,,,,V,
2025,透過損益按公允價值衡量之金融資產,1113,3,WF20200427004,18876,2020/4/27 上午 12:00:00,4,2,,,,,V,
2026,透過損益按公允價值衡量之金融資產,1113,1,WF20200428001,8644,2020/4/28 上午 12:00:00,4,1,,,,,V,
2027,透過損益按公允價值衡量之金融資產,7243,2,WF20200428001,20,2020/4/28 上午 12:00:00,4,1,,,,,V,
2028,透過損益按公允價值衡量之金融資產,6123,3,WF20200428001,26,2020/4/28 上午 12:00:00,4,1,,,,,V,
2029,透過損益按公允價值衡量之金融資產之評價調整,1122,4,WF20200428001,66,2020/4/28 上午 12:00:00,4,2,,,,,V,
2030,透過損益按公允價值衡量之金融資產,7162,5,WF20200428001,34,2020/4/28 上午 12:00:00,4,2,,,,,V,
2031,透過損益按公允價值衡量之金融資產,1121,6,WF20200428001,8590,2020/4/28 上午 12:00:00,4,2,,,,,V,
1884,4月份薪資,6111,1,WF20200430001,31817,2020/4/30 上午 12:00:00,4,1,,,,,,
1885,4月份勞健保,1281,2,WF20200430001,2328,2020/4/30 上午 12:00:00,4,1,,,,,,
1886,4月份保險費,6120,3,WF20200430001,2474,2020/4/30 上午 12:00:00,4,1,,,,,,
1887,4月份業務支出,1261,4,WF20200430001,655,2020/4/30 上午 12:00:00,4,1,,,,,,
1888,4月份薪資,2171,5,WF20200430001,2474,2020/4/30 上午 12:00:00,4,2,,,,,,
