序號,日期,傳票,項目,科目,描述,金額,借/貸,
1075,2018/10/3 上午 12:00:00,WF20181003004,2,5111,9月份office365,263.00,1,
1151,2018/10/31 上午 12:00:00,WF20181031001,2,5111,10月份yes123人力銀行,320.00,1,
108,2018/11/3 上午 12:00:00,WF20181103001,2,5111,11月份office365,263.00,1,
160,2018/12/3 上午 12:00:00,WF20181203002,2,5111,12月份office365,263.00,1,
198,2018/12/31 上午 12:00:00,WF20181231002,2,5111,12月份yes123人力銀行,212.00,1,
200,2018/12/31 上午 12:00:00,WF20181231003,2,5111,104網4個月租金,2532.00,1,
423,2018/12/31 上午 12:00:00,WF20181231098,2,5111,沖帳-WF20180930001-9月份yes123人力銀行,1067.00,2,
424,2018/12/31 上午 12:00:00,WF20181231099,2,5111,9月份yes123人力銀行,1066.00,1,
443,2018/12/31 上午 12:00:00,WF20181231107,2,5111,沖帳-WF20181231003--104網4個月租金,2532.00,2,
444,2018/12/31 上午 12:00:00,WF20181231108,2,5111,107-08-24--104網4個月租金,2532.00,1,
449,2018/12/31 上午 12:00:00,WF20181231110,2,5111,沖帳-WF20181231099-9月份yes123人力銀行,1066.00,2,
24,2018/1/14 上午 12:00:00,WF20180114001,2,5124,折讓,4.00,2,
30,2018/1/20 上午 12:00:00,WF20180120001,2,5124,折讓,4.00,2,
61,2018/2/10 上午 12:00:00,WF20180210001,2,5124,加油折讓,4.00,2,
87,2018/2/22 上午 12:00:00,WF20180222002,2,5124,加油折讓,1.00,2,
96,2018/2/26 上午 12:00:00,WF20180226001,2,5124,加油折讓,4.00,2,
467,2018/3/8 上午 12:00:00,WF20180308001,2,5124,加油折讓,1.00,2,
501,2018/3/15 上午 12:00:00,WF20180315001,2,5124,加油折讓,4.00,2,
527,2018/3/17 上午 12:00:00,WF20180317001,2,5124,加油折讓,5.00,2,
554,2018/3/22 上午 12:00:00,WF20180322001,2,5124,加油折讓,2.00,2,
584,2018/4/2 上午 12:00:00,WF20180402001,2,5124,加油折讓,4.00,2,
601,2018/4/7 上午 12:00:00,WF20180407001,2,5124,加油折讓,4.00,2,
614,2018/4/13 上午 12:00:00,WF20180413001,2,5124,加油折讓,4.00,2,
618,2018/4/19 上午 12:00:00,WF20180419001,2,5124,加油折讓,6.00,2,
628,2018/4/28 上午 12:00:00,WF20180428001,2,5124,加油折讓,1.00,2,
665,2018/5/4 上午 12:00:00,WF20180504001,2,5124,加油折讓,6.00,2,
726,2018/5/30 上午 12:00:00,WF20180530003,2,5124,加油折讓,4.00,2,
763,2018/6/6 上午 12:00:00,WF20180606001,2,5124,加油折讓,6.00,2,
782,2018/6/25 上午 12:00:00,WF20180625002,2,5124,加油折讓,6.00,2,
820,2018/7/4 上午 12:00:00,WF20180704001,2,5124,加油折讓,6.00,2,
835,2018/7/16 上午 12:00:00,WF20180716001,2,5124,加油折讓,6.00,2,
859,2018/7/24 上午 12:00:00,WF20180724001,2,5124,加油折讓,6.00,2,
913,2018/8/9 上午 12:00:00,WF20180809001,2,5124,加油折讓,4.00,2,
925,2018/8/18 上午 12:00:00,WF20180818001,2,5124,加油折讓,3.00,2,
950,2018/8/25 上午 12:00:00,WF20180825001,2,5124,加油折讓,4.00,2,
968,2018/8/31 上午 12:00:00,WF20180831004,2,5124,20180806折讓單格式向office365要求確認文件換合約產生,66.00,2,
971,2018/8/31 上午 12:00:00,WF20180831005,2,5124,20180806折讓單格式向office365要求確認文件換合約產生,375.00,2,
990,2018/9/5 上午 12:00:00,WF20180905003,2,5124,加油折讓,6.00,2,
1011,2018/9/17 上午 12:00:00,WF20180917001,2,5124,加油折讓,4.00,2,
1022,2018/9/24 上午 12:00:00,WF20180924002,3,5124,線材,10.00,2,
1041,2018/9/27 上午 12:00:00,WF20180927001,2,5124,加油折讓,4.00,2,
1045,2018/9/30 上午 12:00:00,WF20180930002,2,5124,因沒空徵才暫停不使用折讓,533.00,2,
1092,2018/10/7 上午 12:00:00,WF20181007001,2,5124,加油折讓,4.00,2,
1119,2018/10/14 上午 12:00:00,WF20181014002,2,5124,加油折讓,4.00,2,
128,2018/11/11 上午 12:00:00,WF20181111001,2,5124,加油折讓,3.00,2,
138,2018/11/21 上午 12:00:00,WF20181121001,2,5124,加油折讓,4.00,2,
180,2018/12/22 上午 12:00:00,WF20181222001,2,5124,加油折讓,6.00,2,
426,2018/12/31 上午 12:00:00,WF20181231100,2,5124,0930-暫停優惠折,320.00,1,
428,2018/12/31 上午 12:00:00,WF20181231101,2,5124,0930-暫停優惠折,213.00,1,
450,2018/12/31 上午 12:00:00,WF20181231111,2,5124,沖帳-WF20180930002-因沒空徵才--暫停不使用折讓,533.00,1,
595,2018/4/6 上午 12:00:00,WF20180406001,2,5131,購買設備零組件.細牙,33.00,1,
558,2018/3/24 上午 12:00:00,WF20180324001,2,5152,Office365 商務版,285.00,1,
588,2018/4/3 上午 12:00:00,WF20180403002,2,5152,系統分析使用-保證金為個人歷史支出(一年),2000.00,1,
673,2018/5/6 上午 12:00:00,WF20180506001,2,5152,office365商務版,285.00,1,
769,2018/6/6 上午 12:00:00,WF20180606004,2,5152,office365商務版,285.00,1,
889,2018/7/1 上午 12:00:00,WF20180701001,2,5152,辦公租用,1500.00,1,
1398,2018/8/1 上午 12:00:00,WF20180801002,1,5152,辦公租用,1500.00,1,
972,2018/9/1 上午 12:00:00,WF20180901001,2,5152,辦公租用,1500.00,1,
1053,2018/10/1 上午 12:00:00,WF20181001001,2,5152,辦公租用,1500.00,1,
102,2018/11/1 上午 12:00:00,WF20181101001,2,5152,辦公租用,1500.00,1,
1400,2018/12/1 上午 12:00:00,WF20181201002,3,5152,辦公租用,1500.00,1,
12,2018/1/8 上午 12:00:00,WF20180108001,2,5153,傳輸線.充電線,283.00,1,
31,2018/1/24 上午 12:00:00,WF20180124001,2,5153,文具.資料本.長尾夾,149.00,1,
54,2018/2/7 上午 12:00:00,WF20180207002,2,5153,名片,295.00,1,
79,2018/2/17 上午 12:00:00,WF20180217001,2,5153,3轉2轉接頭(2入),56.00,1,
452,2018/3/1 上午 12:00:00,WF20180301001,2,5153,傳真事務機耗材-廠商發票計算稅額有誤,533.00,1,
656,2018/5/2 上午 12:00:00,WF20180502001,2,5153,筆購買,8.00,1,
693,2018/5/16 上午 12:00:00,WF20180516001,2,5153,自動原子筆、壓克力刀,126.00,1,
696,2018/5/16 上午 12:00:00,WF20180516002,2,5155,自動原子筆、壓克力刀,57.00,1,
709,2018/5/24 上午 12:00:00,WF20180524001,3,5155,電動零件組成器,60.00,1,
864,2018/7/25 上午 12:00:00,WF20180725001,3,5155,沖帳-WF20180524001-電動零件組成器-換日期改發票,60.00,2,
868,2018/7/25 上午 12:00:00,WF20180725002,3,5155,電動零件組成器-二聯換三聯-換日期改發票,60.00,1,
1017,2018/9/24 上午 12:00:00,WF20180924001,3,5155,三用電錶,48.00,1,
1020,2018/9/24 上午 12:00:00,WF20180924002,4,5155,線材,40.00,1,
1087,2018/10/6 上午 12:00:00,WF20181006001,3,5155,研發使用電路設備,60.00,1,
1124,2018/10/17 上午 12:00:00,WF20181017001,3,5155,研發使用電路設備,40.00,1,
1140,2018/10/25 上午 12:00:00,WF20181025005,2,5155,購買運費,67.00,1,
271,2018/12/31 上午 12:00:00,WF20181231036,3,5155,沖帳-WF20180725002-電動零件組成器-0725,60.00,2,
275,2018/12/31 上午 12:00:00,WF20181231037,3,5155,電動零件組成器-0524換日期,46.00,1,
837,2018/7/16 上午 12:00:00,WF20180716002,3,5156,7月份網路網路電話費、網路費,332.00,1,
842,2018/7/16 上午 12:00:00,WF20180716004,2,5156,7月份網路網路電話費、網路費,332.00,1,
879,2018/7/31 上午 12:00:00,WF20180731002,4,5156,行動費用-業務人事行政使用,464.00,1,
916,2018/8/15 上午 12:00:00,WF20180815001,2,5156,8月份網路網路電話費、網路費,716.00,1,
1012,2018/9/18 上午 12:00:00,WF20180918001,2,5156,9月份電話費,413.00,1,
1120,2018/10/16 上午 12:00:00,WF20181016001,2,5156,10月份電話費,772.00,1,
129,2018/11/15 上午 12:00:00,WF20181115001,2,5156,11月份網路網路電話費、網路費,637.00,1,
166,2018/12/4 上午 12:00:00,WF20181204002,2,5156,12月份網路網路電話費、網路費,644.00,1,
376,2018/12/31 上午 12:00:00,WF20181231075,2,5156,6月電話費-WF20180530006-電話費、網路費,720.00,1,
1328,2018/12/31 上午 12:00:00,WF20181231119,2,5156,沖帳-6月份副總郵電費,58.00,2,
744,2018/6/1 上午 12:00:00,WF20180601002,2,5911,申請研發設備辦理費用-發票加統編,100.00,1,
767,2018/6/6 上午 12:00:00,WF20180606003,2,5911,正本發票重新寄送(03月01日)-研發設備卡,100.00,1,
