序號,會計編碼,日期,傳票編號,摘要,種類,借,貸
45,6123,1080203,WF20190203001,2月份Office365 ,1,13,
46,1113,1080203,WF20190203001,2月份Office365 ,2,,276
47,1586,1080207,WF20190207001,海關貨物一項,1,1684,
48,6123,1080207,WF20190207001,海關貨物一項,1,84,
49,1113,1080207,WF20190207001,海關貨物一項,2,,1768
50,6114,1080208,WF20190208001,加油,1,102,
51,6123,1080208,WF20190208001,加油,1,5,
52,1113,1080208,WF20190208001,加油,2,,107
53,1586,1080214,WF20190214001,採購研發料件一批,1,1274,
54,6123,1080214,WF20190214001,採購研發料件一批,1,64,
55,1113,1080214,WF20190214001,採購研發料件一批,2,,1338
56,1586,1080219,WF20190219001,研發資產一項,1,330,
57,6123,1080219,WF20190219001,研發資產一項,1,16,
58,1113,1080219,WF20190219001,研發資產一項,2,,346
59,5162,1080219,WF20190219002,研發零件一批,1,3,
60,1240,1080219,WF20190219002,研發零件一批,1,59,
61,1113,1080219,WF20190219002,研發零件一批,2,,62
62,6114,1080220,WF20190220001,加油,1,116,
63,6123,1080220,WF20190220001,加油,1,6,
64,1113,1080220,WF20190220001,加油,2,,122
65,5111,1080228,WF20190228001,104客戶網2月租金,1,484,
66,1262,1080228,WF20190228001,104客戶網2月租金,2,,484
67,6112,1080303,WF20190303001,3月份Office365 ,1,263,
68,6123,1080303,WF20190303001,3月份Office365 ,1,13,
69,1113,1080303,WF20190303001,3月份Office365 ,2,,276
70,6134,1080305,WF20190305002,工具袋、名片盒,1,131,
71,6123,1080305,WF20190305002,工具袋、名片盒,1,7,
72,1113,1080305,WF20190305002,工具袋、名片盒,2,,138
73,2171,1080305,WF20190305007,半年營業租金,1,9000,
74,1113,1080305,WF20190305007,半年營業租金,2,,9000
75,1262,1080305,WF20190305008,3月份主管辦公租金支出,2,,500
76,6112,1080305,WF20190305008,3月份主管辦公租金支出,1,500,
77,1262,1080305,WF20190305009,3月份公司營業租金,2,,1500
78,6112,1080305,WF20190305009,3月份公司營業租金,1,1500,
79,6134,1080310,WF20190310001,噴漆、WD潤滑劑,1,156,
80,6123,1080310,WF20190310001,噴漆、WD潤滑劑,1,8,
81,1113,1080310,WF20190310001,噴漆、WD潤滑劑,2,,164
82,1240,1080311,WF20190311001,組裝用零件,1,481,
83,6123,1080311,WF20190311001,組裝用零件,1,24,
84,1113,1080311,WF20190311001,組裝用零件,2,,505
85,6114,1080312,WF20190312001,加油,1,127,
86,6123,1080312,WF20190312001,加油,1,6,
87,1113,1080312,WF20190312001,加油,2,,133
88,1240,1080313,WF20190313001,研發使用物料,1,101,
89,6123,1080313,WF20190313001,研發使用物料,1,5,
90,1113,1080313,WF20190313001,研發使用物料,2,,106
91,5153,1080313,WF20190313002,研發使用文具,1,32,
92,6123,1080313,WF20190313002,研發使用文具,1,2,
93,1113,1080313,WF20190313002,研發使用文具,2,,34
94,5153,1080313,WF20190313003,研發使用文具,1,130,
95,6123,1080313,WF20190313003,研發使用文具,1,6,
96,1113,1080313,WF20190313003,研發使用文具,2,,136
97,6134,1080315,WF20190315001,研發時程迫急沒有營業需求晚領發票,1,18,
98,1240,1080315,WF20190315002,研發使用物料,1,14,
99,1113,1080315,WF20190315001,研發時程迫急沒有營業需求晚領發票,2,,18
100,6123,1080315,WF20190315002,研發使用物料,1,1,
101,1113,1080315,WF20190315002,研發使用物料,2,,15
102,1240,1080315,WF20190315003,研發使用物料,1,864,
103,6123,1080315,WF20190315003,研發使用物料,1,43,
104,1113,1080315,WF20190315003,研發使用物料,2,,907
105,6116,1080318,WF20190318001,3月份網路電話,1,642,
106,6123,1080318,WF20190318001,3月份網路電話,1,32,
107,1113,1080318,WF20190318001,3月份網路電話,2,,674
108,1240,1080319,WF20190319001,研發使用物料,1,43,
109,6123,1080319,WF20190319001,研發使用物料,1,2,
110,1113,1080319,WF20190319001,研發使用物料,2,,45
111,6114,1080322,WF20190322001,加油,1,121,
112,6123,1080322,WF20190322001,加油,1,6,
113,1113,1080322,WF20190322001,加油,2,,127
114,5162,1080325,WF20190325001,研發設備,1,12,
115,1586,1080325,WF20190325001,研發設備,1,238,
116,1113,1080325,WF20190325001,研發設備,2,,250
117,6114,1080325,WF20190325002,研發簡報停車費用,1,60,
118,1113,1080325,WF20190325002,研發簡報停車費用,2,,60
119,1262,1080401,WF20190401001,4月份營業租金,2,,1500
120,6112,1080401,WF20190401001,4月份營業租金,1,1500,
121,1262,1080401,WF20190401002,4月份主管辦公租金,2,,500
122,6112,1080401,WF20190401002,4月份主管辦公租金,1,500,
123,6134,1080402,WF20190402001,工具,1,50,
124,1586,1080402,WF20190402001,製造工具-0306,1,690,
125,1113,1080402,WF20190402001,製造工具-0306,2,,690
126,1113,1080402,WF20190402001,工具,2,,50
127,1240,1080402,WF20190402002,製造耗材-0306,1,380,
128,1113,1080402,WF20190402002,製造耗材-0306,2,,380
129,6114,1080403,WF20190403001,加油,1,132,
130,6123,1080403,WF20190403001,加油,1,7,
131,1113,1080403,WF20190403001,加油,2,,139
132,6112,1080403,WF20190403002,4月份Office365 ,1,263,
133,6123,1080403,WF20190403002,4月份Office365 ,1,13,
134,1113,1080403,WF20190403002,4月份Office365 ,2,,276
135,6114,1080415,WF20190415001,加油,1,135,
136,6123,1080415,WF20190415001,加油,1,7,
137,1113,1080415,WF20190415001,加油,2,,142
138,6116,1080416,WF20190416001,4月份網路電話費,1,649,
139,6123,1080416,WF20190416001,4月份網路電話費,1,32,
140,1113,1080416,WF20190416001,4月份網路電話費,2,,681
141,1262,1080428,WF20190428001,5月份主管辦公費用,1,500,
142,1113,1080428,WF20190428001,5月份主管辦公費用,2,,500
143,6114,1080429,WF20190429001,加油,1,129,
144,6123,1080429,WF20190429001,加油,1,6,
145,1113,1080429,WF20190429001,加油,2,,135
146,5162,1080502,WF20190502001,Office365 5月份,1,13,
147,6112,1080502,WF20190502001,Office365 5月份,1,263,
148,1113,1080502,WF20190502001,Office365 5月份,2,,276
149,5162,1080503,WF20190503001,Usb 2.0傳輸線 A公對Mimi,1,4,
150,1240,1080503,WF20190503001,Usb 2.0傳輸線 A公對Mimi,1,75,
151,1113,1080503,WF20190503001,Usb 2.0傳輸線 A公對Mimi,2,,79
152,6134,1080508,WF20190508001,銀行存摺加印,1,100,
153,1113,1080508,WF20190508001,銀行存摺加印,2,,100
154,6114,1080508,WF20190508002,加油,1,126,
155,6123,1080508,WF20190508002,加油,1,6,
156,1113,1080508,WF20190508002,加油,2,,132
157,6134,1080508,WF20190508003,5.6月發票,1,18,
158,1113,1080508,WF20190508003,5.6月發票,2,,18
159,1262,1080510,WF20190510002,5月份營業租金,2,,1500
160,6112,1080510,WF20190510002,5月份營業租金,1,1500,
161,1262,1080510,WF20190510003,5月份辦公,2,,500
162,6112,1080510,WF20190510003,5月份辦公,1,500,
163,6113,1080515,WF20190515001,影印機列印點數卡,1,100,
164,1113,1080515,WF20190515001,影印機列印點數卡,2,,100
165,1284,1080515,WF20190515002,影印機列印點數卡,1,100,
166,1113,1080515,WF20190515002,影印機列印點數卡,2,,100
167,6134,1080516,WF20190516001,被偷或遺失-補辦負責人身份證,1,200,
168,1113,1080516,WF20190516001,被偷或遺失-補辦負責人身份證,2,,200
169,6113,1080516,WF20190516002,一年份印表機碳粉匣,1,767,
170,6123,1080516,WF20190516002,一年份印表機碳粉匣,1,38,
171,1113,1080516,WF20190516002,一年份印表機碳粉匣,2,,805
172,6115,1080516,WF20190516003,一年份印表機碳粉匣,1,95,
173,6123,1080516,WF20190516003,一年份印表機碳粉匣,1,5,
174,1113,1080516,WF20190516003,一年份印表機碳粉匣,2,,100
175,6114,1080517,WF20190517001,加油,1,15,
176,6123,1080517,WF20190517001,加油,1,1,
177,1113,1080517,WF20190517001,加油,2,,16
178,6114,1080518,WF20190518001,加油,1,92,
179,6123,1080518,WF20190518001,加油,1,5,
180,1113,1080518,WF20190518001,加油,2,,97
181,6114,1080523,WF20190523001,加油,1,147,
182,6123,1080523,WF20190523001,加油,1,7,
183,1113,1080523,WF20190523001,加油,2,,154
184,6114,1080602,WF20190602001,加油,1,160,
185,6123,1080602,WF20190602001,加油,1,8,
186,1113,1080602,WF20190602001,加油,2,,168
187,5162,1080602,WF20190602002,Office365 6月份,1,13,
188,6112,1080602,WF20190602002,Office365 6月份,1,263,
189,1113,1080602,WF20190602002,Office365 6月份,2,,276
190,1583,1080610,WF20190610001,育成中心保證金,1,6000,
191,1113,1080610,WF20190610001,育成中心保證金,2,,6000
192,6114,1080611,WF20190611001,加油,1,142,
193,6123,1080611,WF20190611001,加油,1,7,
194,1113,1080611,WF20190611001,加油,2,,149
195,1262,1080626,WF20190626001,6月至11月的主管辦公室租金,1,3000,
196,1113,1080626,WF20190626001,6月至11月的主管辦公室租金,2,,3000
197,2113,1080627,WF20190627001,6月份短期金周轉,1,10000,
198,1113,1080627,WF20190627001,6月份短期金周轉,2,,10000
199,2113,1080628,WF20190628001,6月份短期金周轉,1,80000,
200,1113,1080628,WF20190628001,6月份短期金周轉,2,,80000
201,6113,1080630,WF20190630001,A4影印紙500入,1,119,
202,6123,1080630,WF20190630001,A4影印紙500入,1,6,
203,1113,1080630,WF20190630001,A4影印紙500入,2,,125
204,5162,1080703,WF20190702001,Office365 7月份,1,13,
205,6112,1080703,WF20190702001,Office365 7月份,1,263,
206,1113,1080703,WF20190702001,Office365 7月份,2,,276
207,1262,1080703,WF20190703001,預付108年12月租金支出,1,500,
208,1113,1080703,WF20190703001,預付108年13月租金支出,2,,500
209,6114,1080707,WF20190707001,加油,1,121,
210,6123,1080707,WF20190707001,加油,1,6,
211,1113,1080707,WF20190707001,加油,2,,127
212,6134,1080710,WF20190710001,郵寄公司業務資訊,1,60,
213,1113,1080710,WF20190710001,郵寄公司業務資訊,2,,60
214,1262,1080710,WF20190710003,7月份辦公,2,,500
215,6112,1080710,WF20190710003,7月份辦公,1,500,
216,6134,1080713,WF20190713001,購置辦公用品,1,43,
217,6123,1080713,WF20190713001,購置辦公用品,1,2,
218,1113,1080713,WF20190713001,購置辦公用品,2,,45
219,6134,1080716,WF20190716001,郵寄會計師相關資訊,1,44,
220,1113,1080716,WF20190716001,郵寄會計師相關資訊,2,,44
221,6116,1080716,WF20190716002,電話寬頻,1,2633,
222,6123,1080716,WF20190716002,市話寬頻,1,132,
223,1113,1080716,WF20190716002,市話寬頻,2,,2765
224,6114,1080716,WF20190716004,加油,1,134,
225,6123,1080716,WF20190716004,加油,1,7,
226,1113,1080716,WF20190716004,加油,2,,141
227,3113,1080717,WF20190717001,資本額轉換增資,2,,50000
228,1113,1080717,WF20190717001,資本額轉換增資,1,50000,
229,3113,1080717,WF20190717002,資本額轉換增資,2,,40000
230,1113,1080717,WF20190717002,資本額轉換增資,1,40000,
231,3113,1080717,WF20190717003,資本額轉換增資,2,,200000
232,1113,1080717,WF20190717003,資本額轉換增資,1,200000,
233,3113,1080717,WF20190717004,資本額轉換增資,2,,10000
234,1113,1080717,WF20190717004,資本額轉換增資,1,10000,
235,6134,1080718,WF20190718003,申請資本額簽證公費,1,1600,
236,1113,1080718,WF20190718003,申請資本額簽證公費,2,,1600
237,6134,1080723,WF20190723001,增資及變更營業地、申請變更證明文件,1,900,
238,1113,1080723,WF20190723001,增資及變更營業地、申請變更證明文件,2,,900
239,6134,1080724,WF20190724001,送營業地變更證明郵寄,1,36,
240,1113,1080724,WF20190724001,送營業地變更證明郵寄,2,,36
241,3113,1080725,WF20190725001,變更資本額領回,1,250000,
242,1113,1080725,WF20190725001,變更資本額領回,2,,250000
243,6114,1080725,WF20190725002,加油,1,139,
244,6123,1080725,WF20190725002,加油,1,7,
245,1113,1080725,WF20190725002,加油,2,,146
246,6134,1080726,WF20190726001,送營業地變更證明郵寄,1,28,
247,1113,1080726,WF20190726001,送營業地變更證明郵寄,2,,28
248,6116,1080730,WF20190730001,電話寬頻-預計8月付7月,1,950,
249,6123,1080730,WF20190730001,市話寬頻-預計8月付7月,1,48,
250,1113,1080730,WF20190730001,市話寬頻-預計8月付7月,2,,998
251,3111,1080731,WF20190731002,董事長增資500000,2,,500000
252,3113,1080731,WF20190731002,資本額轉換增資,1,500000,
253,3113,1080731,WF20190731003,變更資本額領回,1,30000,
254,1113,1080731,WF20190731003,變更資本額領回,2,,30000
255,1262,1080731,WF20190731005,6月份租金補支出,2,,500
256,6112,1080731,WF20190731005,6月份租金補支出,1,500,
257,6114,1080802,WF20190802001,加油,1,100,
258,6123,1080802,WF20190802001,加油,1,5,
259,1113,1080802,WF20190802001,加油,2,,105
260,5162,1080803,WF20190803001,Office365 8月份,1,19,
261,6112,1080803,WF20190803001,Office365 8月份,1,375,
262,1113,1080803,WF20190803001,Office365 8月份,2,,394
263,1262,1080810,WF20190810002,8月份辦公,2,,500
264,6112,1080810,WF20190810002,8月份辦公,1,500,
265,6114,1080821,WF20190821001,加油,1,119,
266,6123,1080821,WF20190821001,加油,1,6,
267,1113,1080821,WF20190821001,加油,2,,125
268,6112,1080827,WF20190827001,7月份行動業務支出,1,475,
269,1266,1080827,WF20190827001,7月份行動業務支出,2,,475
270,6123,1080827,WF20190827001,7月份行動業務支出,1,24,
271,1113,1080827,WF20190827001,7月份行動業務支出,2,,24
272,1266,1080831,WF20190831005,調整2月份員工行動業務支出,2,,475
273,6111,1080831,WF20190831005,調整2月份員工行動業務支出,1,475,
274,6123,1080831,WF20190831005,調整2月份員工行動業務支出,1,24,
275,1113,1080831,WF20190831005,調整2月份員工行動業務支出,2,,24
276,1266,1080831,WF20190831006,調整3月份員工行動業務支出,2,,475
277,6111,1080831,WF20190831006,調整3月份員工行動業務支出,1,475,
278,6123,1080831,WF20190831006,調整3月份員工行動業務支出,1,24,
279,1113,1080831,WF20190831006,調整3月份員工行動業務支出,2,,24
280,1266,1080831,WF20190831007,調整4月份員工行動業務支出,2,,475
281,6111,1080831,WF20190831007,調整4月份員工行動業務支出,1,475,
282,6123,1080831,WF20190831007,調整4月份員工行動業務支出,1,24,
283,1113,1080831,WF20190831007,調整4月份員工行動業務支出,2,,24
284,1266,1080831,WF20190831010,調整行動費用-業務人事行政使用5月份,2,,475
285,6111,1080831,WF20190831010,調整行動費用-業務人事行政使用5月份,1,475,
286,6123,1080831,WF20190831010,調整行動費用-業務人事行政使用5月份,1,24,
287,1113,1080831,WF20190831010,調整行動費用-業務人事行政使用5月份,2,,24
288,5162,1080903,WF20190903001,Office365 8月份,1,19,
289,6112,1080903,WF20190903001,Office365 8月份,1,375,
290,1113,1080903,WF20190903001,Office365 8月份,2,,394
291,6114,1080904,WF20190904001,加油,1,132,
292,6123,1080904,WF20190904001,加油,1,7,
293,1113,1080904,WF20190904001,加油,2,,139
294,1262,1080910,WF20190910002,9月份辦公,2,,500
295,6112,1080910,WF20190910002,9月份辦公,1,500,
296,6114,1080914,WF20190914001,加油,1,48,
297,6123,1080914,WF20190914001,加油,1,2,
298,1113,1080914,WF20190914001,加油,2,,50
299,6114,1080916,WF20190916001,加油,1,134,
300,6123,1080916,WF20190916001,加油,1,7,
301,1113,1080916,WF20190916001,加油,2,,141
302,6114,1080924,WF20190924001,加油,1,139,
303,6123,1080924,WF20190924001,加油,1,7,
304,1113,1080924,WF20190924001,加油,2,,146
305,6116,1080930,WF20190930001,8月份電話寬頻--0830日期,1,754,
306,6123,1080930,WF20190930001,8月份市話寬頻--0830日期,1,38,
307,1113,1080930,WF20190930001,8月份市話寬頻--0830日期,2,,792
308,6116,1080930,WF20190930003,9月份電話寬頻,1,692,
309,6123,1080930,WF20190930003,9月份市話寬頻,1,35,
310,1113,1080930,WF20190930003,9月份市話寬頻,2,,727
311,5162,1081003,WF20191003001,Office365 9月份,1,19,
312,6112,1081003,WF20191003001,Office365 9月份,1,375,
313,1113,1081003,WF20191003001,Office365 9月份,2,,394
314,1262,1081010,WF20191010002,10月份辦公,2,,500
315,6112,1081010,WF20191010002,10月份辦公,1,500,
316,6114,1081014,WF20191014001,加油,1,131,
317,6123,1081014,WF20191014001,加油,1,7,
318,1113,1081014,WF20191014001,加油,2,,138
319,1262,1081023,WF20191023001,租用金融分析、戲劇及時事了解與市場初步接觸了解,1,3015,
320,1113,1081023,WF20191023001,租用金融分析、戲劇及時事了解與市場初步接觸了解,2,,3015
321,5162,1081024,WF20191024001,研磨材料一批,1,11,
322,1240,1081024,WF20191024001,研磨材料一批,1,229,
323,1113,1081024,WF20191024001,研磨材料一批,2,,240
324,1586,1081024,WF20191024002,電視40吋以上液晶,1,5709,
325,6123,1081024,WF20191024002,電視40吋以上液晶,1,285,
326,1113,1081024,WF20191024002,電視40吋以上液晶,2,,5994
327,1586,1081027,WF20191027001,無線路由器,1,666,
328,6123,1081027,WF20191027001,無線路由器,1,33,
329,1113,1081027,WF20191027001,無線路由器,2,,699
330,2113,1081031,WF20191031004,業主增資-週轉金支付,2,,90000
331,3113,1081031,WF20191031004,業主增資-週轉金支付,1,90000,
332,3113,1081031,WF20191031009,預收股款，不保證會計師增資，待投資人鑑資核定,2,,50000
333,1113,1081031,WF20191031009,預收股款，不保證會計師增資，待投資人鑑資核定,1,50000,
334,3113,1081031,WF20191031010,預收股款，不保證會計師增資，待投資人鑑資核定,2,,50000
335,1113,1081031,WF20191031010,預收股款，不保證會計師增資，待投資人鑑資核定,1,50000,
336,3113,1081031,WF20191031011,預收股款，不保證會計師增資，待投資人鑑資核定,2,,50000
337,1113,1081031,WF20191031011,預收股款，不保證會計師增資，待投資人鑑資核定,1,50000,
338,3113,1081031,WF20191031012,預收股款，不保證會計師增資，待投資人鑑資核定,2,,200000
339,1113,1081031,WF20191031012,預收股款，不保證會計師增資，待投資人鑑資核定,1,200000,
340,3113,1081031,WF20191031017,業主增資-蕭榮濱,2,,80000
341,1113,1081031,WF20191031017,業主增資-蕭榮濱,1,80000,
342,6134,1081101,WF20191101001,訴願申請文本補充理由交付,1,44,
343,1113,1081101,WF20191101001,訴願申請文本補充理由交付,2,,44
344,6114,1081101,WF20191101002,加油,1,116,
345,6123,1081101,WF20191101002,加油,1,6,
346,1113,1081101,WF20191101002,加油,2,,122
347,6112,1081106,WF20191106001,Office365商務進階-1103,1,375,
348,6123,1081106,WF20191106001,Office365商務進階-1103,1,19,
349,1113,1081106,WF20191106001,Office365商務進階-1103,2,,394
350,6116,1081106,WF20191106003,10月電話費帳單,1,660,
351,6123,1081106,WF20191106003,10月電話費帳單,1,33,
352,1113,1081106,WF20191106003,10月電話費帳單,2,,693
353,6114,1081109,WF20191109001,加油,1,133,
354,6123,1081109,WF20191109001,加油,1,7,
355,1113,1081109,WF20191109001,加油,2,,140
356,6112,1081110,WF20191110002,11月份辦公,1,500,
357,1262,1081110,WF20191110002,11月份辦公,2,,500
358,1281,1081110,WF20191110003,10月份員工勞健保,2,,2548
359,6111,1081110,WF20191110003,10月份員工勞健保,1,2548,
360,6114,1081118,WF20191118001,加油,1,134,
361,6123,1081118,WF20191118001,加油,1,7,
362,1113,1081118,WF20191118001,加油,2,,141
363,1261,1081120,WF20191120001,11月員工行動業務支出,1,475,
364,6123,1081120,WF20191120001,11月員工行動業務支出,1,24,
365,1113,1081120,WF20191120001,11月員工行動業務支出,2,,499
366,6114,1081129,WF20191129001,加油,1,127,
367,6123,1081129,WF20191129001,加油,1,6,
368,1113,1081129,WF20191129001,加油,2,,133
369,7236,1081129,WF20191129002,1080213--手續費收入,2,,41
370,1113,1081129,WF20191129002,1080213--手續費收入,1,41,
371,7236,1081130,WF20191130001,1080412--手續費收入,2,,30
372,1113,1081130,WF20191130001,1080412--手續費收入,1,30,
373,7236,1081130,WF20191130002,1080613--手續費收入,2,,16
374,1113,1081130,WF20191130002,1080613--手續費收入,1,16,
375,7111,1081130,WF20191130003,1080621--利息收入,2,,2
376,1113,1081130,WF20191130003,1080621--利息收入,1,2,
377,7236,1081130,WF20191130004,1080813--手續費收入,2,,28
378,1113,1081130,WF20191130004,1080813--手續費收入,1,28,
379,7141,1081130,WF20191130005,08-30-投資損益過多後的-股利收入,2,,2990
380,1113,1081130,WF20191130005,08-30-投資損益過多後的股利收入,1,2990,
381,7141,1081130,WF20191130006,09-12-減資收入有回補成功-股利收入,2,,3990
382,1113,1081130,WF20191130006,09-12-減資收入有回補成功,1,3990,
383,1583,1081130,WF20191130007,換營業地-租金保證金回收,2,,1500
384,1113,1081130,WF20191130007,換營業地-租金保證金回收,1,1500,
385,7236,1081130,WF20191130008,1081009-手續費收入,2,,11
386,1113,1081130,WF20191130008,1081009-手續費收入,1,11,
387,6116,1081130,WF20191130009,11月份電話費,1,667,
388,2171,1081130,WF20191130009,11月份電話費,2,,700
389,6123,1081130,WF20191130009,11月份電話費,1,33,
390,1586,1081201,WF20191201001,1080722-3D列印機,1,8295,
391,6123,1081201,WF20191201001,1080722-3D列印機,1,415,
392,1113,1081201,WF20191201001,1080722-3D列印機,2,,8710
393,6114,1081201,WF20191201002,至經濟部開會-停車費,1,19,
394,6123,1081201,WF20191201002,至經濟部開會-停車費,1,1,
395,1113,1081201,WF20191201002,至經濟部開會-停車費,2,,20
396,6112,1081203,WF20191203001,Office365商務進階-A合約-待取折讓單,1,375,
397,6123,1081203,WF20191203001,Office365商務進階-A合約-待取折讓單,1,19,
398,1113,1081203,WF20191203001,Office365商務進階-A合約-待取折讓單,2,,394
399,6112,1081204,WF20191204001,Office365商務進階-B合約,1,285,
400,6123,1081204,WF20191204001,Office365商務進階-B合約,1,14,
401,1113,1081204,WF20191204001,Office365商務進階-B合約,2,,299
402,2171,1081204,WF20191204002,11月份電話費,1,700,
403,1113,1081204,WF20191204002,11月份電話費,2,,700
404,6114,1081206,WF20191206001,加油,1,133,
405,6123,1081206,WF20191206001,加油,1,7,
406,1113,1081206,WF20191206001,加油,2,,140
407,3113,1081210,WF20191210001,董事長購買股本,2,,30000
408,1113,1081210,WF20191210001,董事長購買股本,1,30000,
409,1262,1081210,WF20191210003,12月份辦公,2,,500
410,6112,1081210,WF20191210003,12月份辦公,1,500,
411,1281,1081210,WF20191210004,11月份員工勞健保,2,,2328
412,6111,1081210,WF20191210004,11月份員工勞健保,1,2328,
413,6114,1081215,WF20191215001,加油,1,133,
414,6123,1081215,WF20191215001,加油,1,7,
415,1113,1081215,WF20191215001,加油,2,,140
416,6114,1081216,WF20191216001,停車,1,19,
417,6123,1081216,WF20191216001,停車,1,1,
418,1113,1081216,WF20191216001,停車,2,,20
419,6114,1081227,WF20191227001,加油,1,119,
420,6123,1081227,WF20191227001,加油,1,6,
421,1113,1081227,WF20191227001,加油,2,,125
422,1261,1081231,WF20191231001,12月份業務支出-109年1月才能支出,1,535,
423,2171,1081231,WF20191231001,12月份業務支出-109年1月才能支出,2,,562
424,6123,1081231,WF20191231001,12月份業務支出-109年1月才能支出,1,27,
425,6116,1081231,WF20191231002,12月份電話及網路費,1,637,
426,2171,1081231,WF20191231002,12月份電話及網路費,2,,669
427,6123,1081231,WF20191231002,12月份電話及網路費,1,32,
428,1261,1081231,WF20191231003,行動費用-12月份業務人事行政使用,2,,535
429,6120,1081231,WF20191231003,12月份公司勞保費用,1,2474,
430,2191,1081231,WF20191231003,一個員工-12月份,2,,34265
431,1281,1081231,WF20191231003,12月份員工勞健保,1,2328,
432,6111,1081231,WF20191231003,一個員工-12月份,1,31937,
433,2171,1081231,WF20191231003,12月份公司勞保費用,2,,2474
434,6111,1081231,WF20191231003,行動費用-12月份業務人事行政使用,1,535,
435,1266,1081231,WF20191231006,WF20190630002--行動費用-業務人事行政使用-6月份,1,486,
436,6120,1081231,WF20191231006,WF20190630002--6月份公司勞保費用,1,3256,
437,2191,1081231,WF20191231006,WF20190630002--一個員工-6月份,2,,53500
438,1281,1081231,WF20191231006,WF20190630002--6月份員工勞健保,1,3064,
439,2171,1081231,WF20191231006,WF20190630002--6月份公司勞保費用,2,,3256
440,6111,1081231,WF20191231006,WF20190630002--一個員工-6月份,1,49950,
441,6125,1081231,WF20191231009,折舊-研發設備,1,63,
442,1586,1081231,WF20191231009,折舊-研發設備,2,,63
443,2191,1081231,WF20191231011,WF20190405001-一個員工-3月份,1,58288,
444,2171,1081231,WF20191231011,WF20190405001-3月份公司勞保費用,1,3256,
445,1113,1081231,WF20191231011,WF20190405001-3月份薪資,2,,61544
446,2191,1081231,WF20191231013,WF20190510001-4月份薪資,1,58500,
447,2171,1081231,WF20191231013,WF20190510001-4月份薪資,1,3256,
448,1113,1081231,WF20191231013,WF20190510001-4月份薪資,2,,61756
449,2191,1081231,WF20191231015,WF20190610003-5月份薪資,1,53500,
450,2171,1081231,WF20191231015,WF20190610003-5月份薪資,1,3256,
451,1113,1081231,WF20191231015,WF20190610003-5月份薪資,2,,56756
452,2191,1081231,WF20191231017,WF20190710002-6月份薪資,1,53500,
453,2171,1081231,WF20191231017,WF20190710002-6月份薪資,1,3256,
454,1113,1081231,WF20191231017,WF20190710002-6月份薪資,2,,56756
455,2191,1081231,WF20191231019,WF20190810001-7月份薪資,1,53500,
456,2171,1081231,WF20191231019,WF20190810001-7月份薪資,1,3256,
457,1113,1081231,WF20191231019,WF20190810001-7月份薪資,2,,56756
