序號,會計編碼,日期,傳票編號,摘要,種類,借,貸
65,1191,1110201,WF20220201002,案件-第一期款 (發票先開),1,9523,
66,4111,1110201,WF20220201002,案件-第一期款 (發票先開),2,,9523
67,6112,1110202,WF20220202001,Office365,1,375,
68,6123,1110202,WF20220202001,Office365,1,19,
69,1113,1110202,WF20220202001,Office365,2,,394
70,6134,1110203,WF20220203001,管理費用-公司負責人電話費用,1,684,
71,6123,1110203,WF20220203001,管理費用-公司負責人電話費用,1,34,
72,1113,1110203,WF20220203001,管理費用-公司負責人電話費用,2,,718
73,5111,1110204,WF20220204001,延長線-1開4插(15尺)*2,1,466,
74,6123,1110204,WF20220204001,延長線-1開4插(15尺)*2,1,23,
75,1113,1110204,WF20220204001,延長線-1開4插(15尺)*2,2,,489
76,6114,1110206,WF20220206001,油資,1,229,
77,6123,1110206,WF20220206001,油資,1,11,
78,1113,1110206,WF20220206001,油資,2,,240
79,1266,1110208,WF20220208001,預付租金,1,1530,
80,1113,1110208,WF20220208001,預付租金,2,,1530
81,6134,1110210,WF20220210001,公司負責人津貼,1,570,
82,6123,1110210,WF20220210001,公司負責人津貼,1,28,
83,1113,1110210,WF20220210001,公司負責人津貼,2,,598
84,6134,1110210,WF20220210002,公司負責人津貼,1,740,
85,6123,1110210,WF20220210002,公司負責人津貼,1,37,
86,1113,1110210,WF20220210002,公司負責人津貼,2,,777
87,6114,1110211,WF20220211001,油資,1,138,
88,6123,1110211,WF20220211001,油資,1,7,
89,1113,1110211,WF20220211001,油資,2,,145
90,6134,1110214,WF20220214001,百貨用品,1,46,
91,6123,1110214,WF20220214001,百貨用品,1,2,
92,1113,1110214,WF20220214001,百貨用品,2,,48
93,6114,1110214,WF20220214003,油資,1,190,
94,6123,1110214,WF20220214003,油資,1,10,
95,1113,1110214,WF20220214003,油資,2,,200
96,5111,1110214,WF20220214002,攝影機 1290(稅)
腳架 250 (稅),1,1467,
97,6123,1110214,WF20220214002,攝影機 1290(稅)
腳架 250 (稅),1,73,
98,1113,1110214,WF20220214002,攝影機 1290(稅)
腳架 250 (稅),2,,1540
99,6134,1110214,WF20220223001,小桌子*2 ,1,565,
100,6115,1110214,WF20220223001,小桌子*2 (運費)
,1,95,
101,6123,1110214,WF20220223001,小桌子*2 ,1,33,
102,1113,1110214,WF20220223001,小桌子*2 ,2,,693
103,6134,1110216,WF20220216001,發票章,1,160,
104,1113,1110216,WF20220216001,發票章,2,,160
105,6113,1110216,WF20220216002,標準信封、膠水、中油筆、筆

,1,36,
106,1113,1110216,WF20220216002,標準信封、膠水、中油筆、筆

,2,,36
107,1113,1110216,WF20220216003,案件支付第一期款,1,10000,
108,4111,1110216,WF20220216003,案件支付第一期款,2,,9523
109,6123,1110216,WF20220216003,案件支付第一期款,2,,477
110,6134,1110216,WF20220216004,一站式變更登業登記地費用,1,715,
111,1113,1110216,WF20220216004,一站式變更登業登記地費用,2,,715
112,5111,1110217,WF20220217001,零件銷售-發票寄送,1,28,
113,1113,1110217,WF20220217001,零件銷售-發票寄送,2,,28
114,6114,1110218,WF20220218001,油資,1,445,
115,6123,1110218,WF20220218001,油資,1,22,
116,1113,1110218,WF20220218001,油資,2,,467
117,6114,1110220,WF20220220001,油資,1,476,
118,6123,1110220,WF20220220001,油資,1,24,
119,1113,1110220,WF20220220001,油資,2,,500
120,6114,1110220,WF20220220002,停車費,1,60,
121,1113,1110220,WF20220220002,停車費,2,,60
122,6114,1110220,WF20220220003,停車費,1,30,
123,1113,1110220,WF20220220003,停車費,2,,30
124,6134,1110223,WF20220223004,百貨用品,1,104,
125,6123,1110223,WF20220223004,百貨用品,1,5,
126,1113,1110223,WF20220223004,百貨用品,2,,109
127,1191,1110223,WF20220223002,銷售網路線、usb延長線、6插6開15尺延長線,1,657,
128,4111,1110223,WF20220223002,銷售網路線、usb延長線、6插6開15尺延長線,2,,657
129,6134,1110223,WF20220223003,電燙斗,1,398,
130,6115,1110223,WF20220223003,電燙斗,1,57,
131,6123,1110223,WF20220223003,電燙斗,1,23,
132,1113,1110223,WF20220223003,電燙斗,2,,478
133,6134,1110224,WF20220224001,螺母-6mm 5H
修理,1,9,
134,1113,1110224,WF20220224001,螺母-6mm 5H
修理,2,,9
135,1266,1110225,WF20220225001,預付薪資發放,1,11000,
136,1113,1110225,WF20220225001,預付薪資發放,2,,11000
137,6134,1110225,WF20220225002,管理費用-負責人津貼,1,247,
138,6123,1110225,WF20220225002,管理費用-負責人津貼,1,12,
139,1113,1110225,WF20220225002,管理費用-負責人津貼,2,,259
140,6134,1110227,WF20220227001,螺絲-機械- 5/32*1.25,1,6,
141,1113,1110227,WF20220227001,螺絲-機械- 5/32*1.25,2,,6
142,6134,1110301,WF20220301001,媒體投資娛樂費,1,512,
143,6134,1110301,WF20220301001,媒體投資娛樂費,2,,512
144,1262,1110301,WF20220301002,預付租金,1,10000,
145,1284,1110301,WF20220301002,預付租金,1,2000,
146,1113,1110301,WF20220301002,租金支出-營業地,2,,12000
147,6112,1110301,WF20220301003,租金支出-營業地
2-3月租金,2/10起,1,1666,
148,1262,1110301,WF20220301003,租金支出-營業地
2-3月租金,2/10起,2,,1666
149,1113,1110301,WF20220301001,股東營業費用現金給予,1,10000,
150,3113,1110301,WF20220301001,股東營業費用現金給予,2,,10000
151,6112,1110302,WF20220302001,Office365,1,375,
152,6123,1110302,WF20220302001,Office365,1,19,
153,1113,1110302,WF20220302001,Office365,2,,394
154,6111,1110303,WF20220303001,3月份業務支出,1,685,
155,6123,1110303,WF20220303001,3月份業務支出,1,34,
156,1113,1110303,WF20220303001,3月份業務支出,2,,34
157,1261,1110303,WF20220303001,3月份業務支出,2,,685
158,6113,1110306,WF20220306001,停車費用,1,114,
159,6123,1110306,WF20220306001,停車費用,1,6,
160,1113,1110306,WF20220306001,停車費用,2,,120
161,6113,1110307,WF20220307001,停車,1,57,
162,6123,1110307,WF20220307001,停車,1,3,
163,1113,1110307,WF20220307001,停車,2,,60
164,6134,1110309,WF20220309001,五金,1,24,
165,6123,1110309,WF20220309001,五金,1,1,
166,1113,1110309,WF20220309001,五金,2,,25
167,6134,1110311,WF20220311001,郵資,1,28,
168,1113,1110311,WF20220311001,郵資,2,,28
169,1113,1110311,WF20220311001,銷售網路線、延長線、..等,1,626,
170,6123,1110311,WF20220311001,銷售網路線、延長線、..等,1,31,
171,1191,1110311,WF20220311001,銷售網路線、延長線、..等,2,,657
172,6113,1110312,WF20220312001,油資,1,359,
173,6123,1110312,WF20220312001,油資,1,18,
174,1113,1110312,WF20220312001,油資,2,,377
175,6113,1110313,WF20220313001,停車,1,38,
176,6123,1110313,WF20220313001,停車,1,2,
177,1113,1110313,WF20220313001,停車,2,,40
178,6134,1110314,WF20220314001,郵資,1,44,
179,1113,1110314,WF20220314001,郵資,2,,44
180,6113,1110314,WF20220314002,嘟嘟房停車,1,86,
181,6123,1110314,WF20220314002,嘟嘟房停車,1,4,
182,1113,1110314,WF20220314002,嘟嘟房停車,2,,90
183,6113,1110314,WF20220314003,油資,1,57,
184,6123,1110314,WF20220314003,油資,1,3,
185,1113,1110314,WF20220314003,油資,2,,60
186,6134,1110314,WF20220314004,郵資,1,28,
187,1113,1110314,WF20220314004,郵資,2,,28
188,6113,1110316,WF20220316001,嘟嘟房停車,1,86,
189,6123,1110316,WF20220316001,嘟嘟房停車,1,4,
190,1113,1110316,WF20220316001,嘟嘟房停車,2,,90
191,6113,1110317,WF20220317001,油資,1,65,
192,6123,1110317,WF20220317001,油資,1,3,
193,1113,1110317,WF20220317001,油資,2,,68
194,6113,1110318,WF20220318001,油資,1,136,
195,6123,1110318,WF20220318001,油資,1,7,
196,1113,1110318,WF20220318001,油資,2,,143
197,6134,1110318,WF20220318003,相片沖洗，增資使用,1,143,
198,6123,1110318,WF20220318003,相片沖洗，增資使用,1,7,
199,1113,1110318,WF20220318003,相片沖洗，增資使用,2,,150
200,6134,1110318,WF20220318002,電話費,1,666,
201,6123,1110318,WF20220318002,電話費,1,33,
202,1113,1110318,WF20220318002,電話費,2,,699
203,6113,1110319,WF20220319001,油資,1,631,
204,6123,1110319,WF20220319001,油資,1,32,
205,1113,1110319,WF20220319001,油資,2,,663
206,6134,1110322,WF20220322001,郵資,1,28,
207,1113,1110322,WF20220322001,郵資,2,,28
208,6113,1110325,WF20220325001,油資,1,19,
209,1113,1110325,WF20220325001,油資,2,,20
210,6113,1110325,WF20220325003,油資,1,151,
211,6123,1110325,WF20220325003,油資,1,8,
212,1113,1110325,WF20220325003,油資,2,,159
213,6123,1110325,WF20220325001,油資,1,1,
214,6134,1110326,WF20220326001,停車,1,40,
215,1113,1110326,WF20220326001,停車,2,,40
216,6134,1110401,WF20220401001,媒體投資娛樂費,1,512,
217,1262,1110401,WF20220401001,媒體投資娛樂費,2,,512
218,6112,1110401,WF20220401002,租金支出,1,1000,
219,1262,1110401,WF20220401002,租金支出,2,,1000
220,1113,1110401,WF20220401003,股東營業費用現金給予,1,10000,
221,3113,1110401,WF20220401003,股東營業費用現金給予,2,,10000
222,6112,1110402,WF20220402001,Office365,1,375,
223,6123,1110402,WF20220402001,Office365,1,19,
224,1113,1110402,WF20220402001,Office365,2,,394
225,6113,1110403,WF20220403003,營業費用,1,740,
226,6123,1110403,WF20220403003,營業費用,1,37,
227,1113,1110403,WF20220403003,營業費用,2,,777
228,6113,1110409,WF20220409001,營業費用,1,245,
229,6123,1110409,WF20220409001,營業費用,1,12,
230,1113,1110409,WF20220409001,營業費用,2,,257
231,6113,1110411,WF20220411001,營業費用,1,150,
232,6123,1110411,WF20220411001,營業費用,1,8,
233,1113,1110411,WF20220411001,營業費用,2,,158
234,6114,1110417,WF20220417001,油資,1,143,
235,6123,1110417,WF20220417001,油資,1,7,
236,1113,1110417,WF20220417001,油資,2,,150
237,6113,1110418,WF20220418001,營業費用,1,277,
238,6123,1110418,WF20220418001,營業費用,1,14,
239,1113,1110418,WF20220418001,營業費用,2,,291
240,6134,1110420,WF20220420001,營業費用,1,13,
241,6123,1110420,WF20220420001,營業費用,1,1,
242,1113,1110420,WF20220420001,營業費用,2,,14
243,6134,1110420,WF20220420004,營業費用,1,11,
244,6123,1110420,WF20220420004,營業費用,1,1,
245,1113,1110420,WF20220420004,營業費用,2,,12
246,6113,1110423,WF20220423001,營業費用,1,367,
247,6123,1110423,WF20220423001,營業費用,1,18,
248,1113,1110423,WF20220423001,營業費用,2,,385
249,6113,1110424,WF20220424001,營業費用,1,152,
250,6123,1110424,WF20220424001,營業費用,1,8,
251,1113,1110424,WF20220424001,營業費用,2,,160
252,6111,1110429,WF20220429001,4月份業務支出,1,684,
253,6123,1110429,WF20220429001,4月份業務支出,1,34,
254,1113,1110429,WF20220429001,4月份業務支出,2,,718
255,6134,1110429,WF20220429002,電話費,1,657,
256,6123,1110429,WF20220429002,電話費,1,33,
257,1113,1110429,WF20220429002,電話費,2,,690
258,6113,1110430,WF20220430001,營業費用,1,148,
259,6123,1110430,WF20220430001,營業費用,1,7,
260,1113,1110430,WF20220430001,營業費用,2,,155
261,1113,1110501,WF20220501001,股東營業費用現金給予,1,10000,
262,3113,1110501,WF20220501001,股東營業費用現金給予,2,,10000
263,6114,1110507,WF20220507001,油資,1,341,
264,6123,1110507,WF20220507001,油資,1,17,
265,1113,1110507,WF20220507001,油資,2,,358
266,6114,1110508,WF20220508001,油資,1,148,
267,6123,1110508,WF20220508001,油資,1,7,
268,1113,1110508,WF20220508001,油資,2,,155
269,6114,1110518,WF20220518001,油資,1,147,
270,6123,1110518,WF20220518001,油資,1,7,
271,1113,1110518,WF20220518001,油資,2,,154
272,6134,1110521,WF20220521001,油資,1,160,
273,6123,1110521,WF20220521001,油資,1,8,
274,1113,1110521,WF20220521001,油資,2,,168
275,6114,1110524,WF20220524001,油資,1,458,
276,6123,1110524,WF20220524001,油資,1,23,
277,1113,1110524,WF20220524001,油資,2,,481
278,6114,1110530,WF20220530001,油資,1,144,
279,6123,1110530,WF20220530001,油資,1,7,
280,1113,1110530,WF20220530001,油資,2,,151
281,6114,1110601,WF20220601001,20220206--新店停車場,1,248,
282,6123,1110601,WF20220601001,20220206--新店停車場,1,12,
283,1113,1110601,WF20220601001,20220206--新店停車場,2,,260
284,6114,1110601,WF20220601002,20220220--油資,1,952,
285,6123,1110601,WF20220601002,20220220--油資,1,48,
286,1113,1110601,WF20220601002,20220220--油資,2,,1000
287,6114,1110603,WF20220603001,油資,1,1385,
288,6123,1110603,WF20220603001,油資,1,69,
289,1113,1110603,WF20220603001,油資,2,,1454
290,6114,1110603,WF20220603002,紅樹林停車場,1,19,
291,6123,1110603,WF20220603002,紅樹林停車場,1,1,
292,1113,1110603,WF20220603002,紅樹林停車場,2,,20
293,6134,1110604,WF20220604001,多功能泡沫清洗齊,1,110,
294,1113,1110604,WF20220604001,多功能泡沫清洗齊,2,,110
295,6114,1110609,WF20220609001,油資,1,144,
296,6123,1110609,WF20220609001,油資,1,7,
297,1113,1110609,WF20220609001,油資,2,,151
298,6134,1110613,WF20220613001,負責人美姿美儀,1,210,
299,6123,1110613,WF20220613001,負責人美姿美儀,1,10,
300,1113,1110613,WF20220613001,負責人美姿美儀,2,,220
301,6114,1110620,WF20220620001,油資,1,184,
302,6123,1110620,WF20220620001,油資,1,9,
303,1113,1110620,WF20220620001,油資,2,,193
304,6114,1110627,WF20220627001,油資,1,125,
305,6123,1110627,WF20220627001,油資,1,6,
306,1113,1110627,WF20220627001,油資,2,,131
307,6113,1110629,WF20220629001,營業費用,1,67,
308,6123,1110629,WF20220629001,營業費用,1,3,
309,1113,1110629,WF20220629001,營業費用,2,,70
310,6134,1110701,WF20220701001,營業費用,1,20,
311,6123,1110701,WF20220701001,營業費用,1,1,
312,1113,1110701,WF20220701001,營業費用,2,,21
313,6134,1110701,WF20220701004,營業費用,1,17,
314,6123,1110701,WF20220701004,營業費用,1,1,
315,1113,1110701,WF20220701004,營業費用,2,,18
316,6112,1110701,WF20220701007,營業地租金-5月份,1,1000,
317,1262,1110701,WF20220701007,營業地租金-5月份,2,,1000
318,6134,1110701,WF20220701009,媒體投資娛樂費-5月份,1,512,
319,1262,1110701,WF20220701009,媒體投資娛樂費-5月份,2,,512
320,6112,1110701,WF20220701011,租金支出-6月份,1,1000,
321,1262,1110701,WF20220701011,預付租金-6月份,2,,1000
322,6134,1110701,WF20220701013,媒體投資娛樂費-6月份,1,512,
323,1262,1110701,WF20220701013,媒體投資娛樂費-6月份,2,,512
324,6112,1110701,WF20220701015,租金支出-7月份,1,1000,
325,1262,1110701,WF20220701015,預付租金-7月份,2,,1000
326,6134,1110701,WF20220701017,媒體投資娛樂費-7月份,1,512,
327,1262,1110701,WF20220701017,媒體投資娛樂費-7月份,2,,512
328,6116,1110701,WF20220701019,220418-4月-郵電費,1,717,
329,6123,1110701,WF20220701019,220418-4月-郵電費,1,36,
330,1113,1110701,WF20220701019,220418-4月-郵電費,2,,753
331,6116,1110701,WF20220701022,220616-6月-郵電費,1,650,
332,6123,1110701,WF20220701022,220616-6月-郵電費,1,33,
333,1113,1110701,WF20220701022,220616-6月-郵電費,2,,683
334,6116,1110701,WF20220701025,20220613-手機費-郵電費,1,244,
335,6123,1110701,WF20220701025,20220613-手機費-郵電費,1,13,
336,1113,1110701,WF20220701025,20220613-手機費-郵電費,2,,257
337,1113,1110701,WF20220701026,股東營業費用現金給予,1,10000,
338,3113,1110701,WF20220701026,股東營業費用現金給予,2,,10000
339,6112,1110702,WF20220702001,Office365-5月份,1,375,
340,6123,1110702,WF20220702001,Office365-5月份,1,19,
341,1113,1110702,WF20220702001,Office365-5月份,2,,394
342,6112,1110702,WF20220702004,Office365-6月份,1,375,
343,6123,1110702,WF20220702004,Office365-6月份,1,19,
344,1113,1110702,WF20220702004,Office365-6月份,2,,394
345,6112,1110702,WF20220702007,Office365-7月份,1,375,
346,6123,1110702,WF20220702007,Office365-7月份,1,19,
347,1113,1110702,WF20220702007,Office365-7月份,2,,394
348,6113,1110708,WF20220708001,油資,1,149,
349,6123,1110708,WF20220708001,油資,1,7,
350,1113,1110708,WF20220708001,油資,2,,156
351,6134,1110715,WF20220715001,水龍頭,1,46,
352,6123,1110715,WF20220715001,水龍頭,1,2,
353,1113,1110715,WF20220715001,水龍頭,2,,48
354,6113,1110718,WF20220718001,營業費用,1,147,
355,6123,1110718,WF20220718001,營業費用,1,7,
356,1113,1110718,WF20220718001,營業費用,2,,154
357,6116,1110718,WF20220718004,郵電費,1,2297,
358,6123,1110718,WF20220718004,郵電費,1,121,
359,1113,1110718,WF20220718004,郵電費,2,,2418
360,6113,1110724,WF20220724001,停車費,1,30,
361,6123,1110724,WF20220724001,停車費,1,0,
362,1113,1110724,WF20220724001,停車費,2,,30
363,6113,1110729,WF20220729001,油資,1,129,
364,6123,1110729,WF20220729001,油資,1,6,
365,1113,1110729,WF20220729001,油資,2,,135
366,6112,1110801,WF20220801001,營業地租金,1,1000,
367,1262,1110801,WF20220801001,營業地租金,2,,1000
368,6134,1110801,WF20220801003,媒體投資娛樂費,1,512,
369,1262,1110801,WF20220801003,媒體投資娛樂費,2,,512
370,6112,1110802,WF20220802001,Office365,1,375,
371,6123,1110802,WF20220802001,Office365,1,19,
372,1113,1110802,WF20220802001,Office365,2,,394
373,6116,1110815,WF20220815001,20220815-手機費-郵電費,1,998,
374,6123,1110815,WF20220815001,20220815-手機費-郵電費,1,53,
375,1113,1110815,WF20220815001,20220815-手機費-郵電費,2,,1051
376,6116,1110816,WF20220816001,郵電費,1,684,
377,6123,1110816,WF20220816001,郵電費,1,34,
378,1113,1110816,WF20220816001,郵電費,2,,718
379,6113,1110820,WF20220820001,油資,1,146,
380,6123,1110820,WF20220820001,油資,1,7,
381,1113,1110820,WF20220820001,油資,2,,153
382,6113,1110828,WF20220828001,油資,1,640,
383,6123,1110828,WF20220828001,油資,1,32,
384,1113,1110828,WF20220828001,油資,2,,672
385,6113,1110901,WF20220901001,營業費用,1,149,
386,6123,1110901,WF20220901001,營業費用,1,7,
387,1113,1110901,WF20220901001,營業費用,2,,156
388,6114,1110908,WF20220908001,旅費,1,20,
389,6123,1110908,WF20220908001,旅費,1,1,
390,1113,1110908,WF20220908001,旅費,2,,21
391,1113,1110910,WF20220910001,20220910001-餐廳收入,1,60,
392,4111,1110910,WF20220910001,20220910001-餐廳收入,2,,60
393,1113,1110913,WF20220913001,20220913001-餐廳收入,1,120,
394,4111,1110913,WF20220913001,20220913001-餐廳收入,2,,120
395,6113,1110929,WF20220929001,營業費用,1,686,
396,6123,1110929,WF20220929001,營業費用,1,34,
397,1113,1110929,WF20220929001,營業費用,2,,720
