序號,會計編碼,日期,傳票編號,摘要,借方金額,貸方金額,發票號碼,收據,銷售人統編
37,5124,1071121,WF20181121001,加油折讓,,4 ,JY29116681,3,98981766
38,1586,1071123,WF20181123001,電腦移動位置器具,285 ,,JC04080587,3,26635247
39,6123,1071123,WF20181123001,電腦移動位置器具,14 ,,JC04080587,3,26635247
40,1113,1071123,WF20181123001,電腦移動位置器具,,299 ,JC04080587,3,26635247
41,1262,1071130,WF20181130001,12月份主管辦公支出,500 ,,,1,
42,1113,1071130,WF20181130001,12月份主管辦公支出,,500 ,,1,
43,6111,1071130,WF20181130002,一個員工-11月份,47451 ,,,2,
44,6120,1071130,WF20181130002,11月份公司勞保費用,1487 ,,,2,
45,1266,1071130,WF20181130002,行動費用-業務人事行政使用,499 ,,,2,
46,1281,1071130,WF20181130002,員工勞健保,2050 ,,,2,
47,2191,1071130,WF20181130002,一個員工-11月份,,50000 ,,2,
48,2171,1071130,WF20181130002,11月份公司勞保費用,,1487 ,,2,
49,1113,1071130,WF20181130003,董事長購買股本,100000 ,,,2,
50,3111,1071130,WF20181130003,董事長購買股本,,100000 ,,2,
51,1240,1071203,WF20181203001,排針(座),24 ,,KP98928131,3,80584033
52,6123,1071203,WF20181203001,排針(座),1 ,,KP98928131,3,80584033
53,1113,1071203,WF20181203001,排針(座),,25 ,KP98928131,3,80584033
54,5111,1071203,WF20181203002,12月份office365,263 ,,KC-17311758,3,23525730
55,6123,1071203,WF20181203002,12月份office365,13 ,,KC-17311758,3,23525730
56,1113,1071203,WF20181203002,12月份office365,,276 ,KC-17311758,3,23525730
57,1113,1071204,WF20181204001,11月份-員工行動費用,475 ,,KB-73204691,3,19683736
58,6123,1071204,WF20181204001,11月份-員工行動費用,,24 ,KB-73204691,3,19683736
59,1266,1071204,WF20181204001,11月份-員工行動費用,,499 ,KB-73204691,3,19683736
60,5156,1071204,WF20181204002,12月份網路網路電路費、網路費,644 ,,KB-73204515,3,19683736
61,6123,1071204,WF20181204002,12月份網路網路電路費、網路費,32 ,,KB-73204515,3,19683736
62,1113,1071204,WF20181204002,12月份網路網路電路費、網路費,,676 ,KB-73204515,3,19683736
63,6111,1071205,WF20181205001,12月份員工勞健保,2050 ,,,2,
64,1281,1071205,WF20181205001,12月份員工勞健保,,2050 ,,2,
65,1586,1071210,WF20181210001,研發零件乙批,588 ,,JC06095423,3,24914700
66,6123,1071210,WF20181210001,研發零件乙批,29 ,,JC06095423,3,24914700
67,1113,1071210,WF20181210001,研發零件乙批,,617 ,JC06095423,3,24914700
68,6114,1071222,WF20181222001,加油,141 ,,JY29117327,3,98981766
69,6123,1071222,WF20181222001,稅捐,7 ,,JY29117327,3,98981766
70,1113,1071222,WF20181222001,加油,,142 ,JY29117327,3,98981766
71,5124,1071222,WF20181222001,加油折讓,,6 ,JY29117327,3,98981766
72,1586,1071224,WF20181224001,研發零件乙批,570 ,,JB32702063,3,12824079
73,6123,1071224,WF20181224001,研發零件乙批,29 ,,JB32702063,3,12824079
74,1113,1071224,WF20181224001,研發零件乙批,,599 ,JB32702063,3,12824079
75,1586,1071227,WF20181227001,電子器材,155 ,,KP98934784,3,80584033
76,6123,1071227,WF20181227001,電子器材,8 ,,KP98934784,3,80584033
77,1113,1071227,WF20181227001,電子器材,,163 ,KP98934784,3,80584033
78,1240,1071227,WF20181227002,排針.電子線,50 ,,KP98934784,3,80584033
79,6123,1071227,WF20181227002,排針.電子線,2 ,,KP98934784,3,80584033
80,1113,1071227,WF20181227002,排針.電子線,,52 ,KP98934784,3,80584033
81,1262,1071229,WF20181229001,108年1月份主管辦公支出,500 ,,,1,
82,1113,1071229,WF20181229001,108年1月份主管辦公支出,,500 ,,1,
83,6111,1071231,WF20181231001,一個員工-12月份,47451 ,,,2,
84,6120,1071231,WF20181231001,12月份公司勞保費用,1487 ,,,2,
85,1266,1071231,WF20181231001,行動費用-業務人事行政使用,499 ,,,2,
86,1281,1071231,WF20181231001,員工勞健保,2050 ,,,2,
87,2191,1071231,WF20181231001,一個員工-12月份,,50000 ,,2,
88,2171,1071231,WF20181231001,12月份公司勞保費用,,1487 ,,2,
