序號,會計編碼,日期,傳票編號,摘要,借方金額,貸方金額,發票號碼,收據,銷售人統編
90,5124,1070222,WF20180222002,加油折讓,,1 ,AJ51538577,3,
91,6113,1070223,WF20180223001,3.4月份發票,18 ,,,3,
92,1113,1070223,WF20180223001,3.4月份發票,,18 ,,3,
93,6114,1070225,WF20180225001,停車費,28 ,,ZC40815248,3,
94,6123,1070225,WF20180225001,稅捐,2 ,,ZC40815248,3,
95,1113,1070225,WF20180225001,停車費,,30 ,ZC40815248,3,
96,6114,1070226,WF20180226001,加油,114 ,,AJ29117312,3,
97,6123,1070226,WF20180226001,稅捐,6 ,,AJ29117312,3,
98,1113,1070226,WF20180226001,加油,,116 ,AJ29117312,3,
99,5124,1070226,WF20180226001,加油折讓,,4 ,AJ29117312,3,
100,6134,1070226,WF20180226002,辦理旅遊採購所需證明-台胞證-拍照,333 ,,YR09808633,3,
101,6123,1070226,WF20180226002,稅捐,17 ,,YR09808633,3,
102,1113,1070226,WF20180226002,辦理旅遊採購所需證明-台胞證-拍照,,350 ,YR09808633,3,
103,6113,1070227,WF20180227001,連續章-作廢,100 ,,,3,
104,1113,1070227,WF20180227001,連續章-作廢,,100 ,,3,
