序號,日期,傳票,項目,科目,描述,金額,借/貸,
3288,2021/12/1 上午 12:00:00,WF20211201001,3,1113,辛勞津貼-餐費,145.00,2,
3330,2021/12/1 上午 12:00:00,WF20211201002,1,6134,媒體投資娛樂費,512.00,1,
3331,2021/12/1 上午 12:00:00,WF20211201002,2,1262,媒體投資娛樂費,512.00,2,
3289,2021/12/5 上午 12:00:00,WF20211205001,1,6134,停車費,29.00,1,
3290,2021/12/5 上午 12:00:00,WF20211205001,2,6123,停車費,1.00,1,
3291,2021/12/5 上午 12:00:00,WF20211205001,3,1113,停車費,30.00,2,
3292,2021/12/6 上午 12:00:00,WF20211206001,1,6134,停車費-修鎖,19.00,1,
3293,2021/12/6 上午 12:00:00,WF20211206001,2,6123,停車費-修鎖,1.00,1,
3294,2021/12/6 上午 12:00:00,WF20211206001,3,1113,停車費-修鎖,20.00,2,
3325,2021/12/6 上午 12:00:00,WF20211206002,1,6134,負責人電話津貼,688.00,1,
3326,2021/12/6 上午 12:00:00,WF20211206002,2,6123,負責人電話津貼,34.00,1,
3327,2021/12/6 上午 12:00:00,WF20211206002,3,1113,負責人電話津貼,722.00,2,
3271,2021/12/28 上午 12:00:00,WF20211228001,1,6134,發票,18.00,1,
3272,2021/12/28 上午 12:00:00,WF20211228001,2,1113,發票,18.00,2,
3273,2021/12/28 上午 12:00:00,WF20211228002,1,6134,寄發票-郵資,28.00,1,
3274,2021/12/28 上午 12:00:00,WF20211228002,2,1113,寄發票-郵資,28.00,2,
