序號,日期,傳票,項目,科目,描述,金額,借/貸,
2730,2021/2/1 上午 12:00:00,WF20210201001,2,6123,109-12-30-油資,6.00,1,
2763,2021/2/1 上午 12:00:00,WF20210201003,2,6123,109-11-26-出差停車費,1.00,1,
2743,2021/2/2 上午 12:00:00,WF20210202001,2,6123,2月份Office365,14.00,1,
2751,2021/2/10 上午 12:00:00,WF20210210003,2,6123,2月份Office365換約,19.00,1,
2727,2021/2/11 上午 12:00:00,WF20210211001,2,6123,五金百貨,5.00,1,
2754,2021/2/22 上午 12:00:00,WF20210222001,2,6123,2月份郵電費,38.00,1,
2757,2021/2/24 上午 12:00:00,WF20210224001,2,6123,TP-Link攝影機,23.00,1,
2937,2021/3/2 上午 12:00:00,WF20210302001,2,6123,3月份office365,4.00,1,
2949,2021/3/10 上午 12:00:00,WF20210310001,2,6123,3月份業務支出,34.00,1,
2934,2021/3/16 上午 12:00:00,WF20210316001,2,6123,3月份郵電費,35.00,1,
2956,2021/3/19 上午 12:00:00,WF20210319001,2,6123,停車費,1.00,1,
2962,2021/3/19 上午 12:00:00,WF20210319002,2,6123,油資,6.00,1,
2959,2021/3/25 上午 12:00:00,WF20210325001,2,6123,油資,7.00,1,
2998,2021/4/1 上午 12:00:00,WF20210401001,3,6123,油資,7.00,1,
2970,2021/4/2 上午 12:00:00,WF20210402001,2,6123,4月份office365,19.00,1,
2992,2021/4/8 上午 12:00:00,WF20210408001,2,6123,油資,7.00,1,
3001,2021/4/8 上午 12:00:00,WF20210408002,2,6123,出差停車費,1.00,1,
2982,2021/4/10 上午 12:00:00,WF20210410001,2,6123,4月份業務支出,34.00,1,
2995,2021/4/8 上午 12:00:00,WF20210414001,1,6123,油資,7.00,1,
2967,2021/4/1 上午 12:00:00,WF20210419001,2,6123,4月份郵電費,36.00,1,
3010,2021/4/25 上午 12:00:00,WF20210425001,2,6123,油資,7.00,1,
2989,2021/4/30 上午 12:00:00,WF20210430002,2,6123,5月份業務支出,35.00,1,
3116,2021/5/2 上午 12:00:00,WF20210502001,2,6123,油資,7.00,1,
3099,2021/5/3 上午 12:00:00,WF20210503001,2,6123,5月份office365,19.00,1,
3119,2021/5/9 上午 12:00:00,WF20210509001,2,6123,油資,2.00,1,
3122,2021/5/14 上午 12:00:00,WF20210514001,2,6123,油資,6.00,1,
3134,2021/5/18 上午 12:00:00,WF20210518001,3,6123,5月份郵電費,37.00,1,
3125,2021/5/23 上午 12:00:00,WF20210523001,2,6123,油資,7.00,1,
3136,2021/5/31 上午 12:00:00,WF20210531002,2,6123,油資,7.00,1,
3142,2021/6/3 上午 12:00:00,WF20210603001,2,6123,6月份Office365,19.00,1,
3139,2021/6/24 上午 12:00:00,WF20210624001,2,6123,油資,7.00,1,
3158,2021/7/1 上午 12:00:00,WF20210701001,2,6123,油資,7.00,1,
3230,2021/7/2 上午 12:00:00,WF20210702001,2,6123,7月份office365,19.00,1,
3226,2021/7/9 上午 12:00:00,WF20210709001,2,6123,7月份業務支出,34.00,1,
3169,2021/7/1 上午 12:00:00,WF20210716001,2,6123,7月份郵電費
支付電路費,120.00,1,
3161,2021/7/20 上午 12:00:00,WF20210720001,2,6123,油資,2.00,1,
3164,2021/7/28 上午 12:00:00,WF20210728001,2,6123,油資,5.00,1,
3223,2021/7/30 上午 12:00:00,WF20210730001,2,6123,伺服器費用-網域,26.00,1,
3209,2021/8/1 上午 12:00:00,WF20210801001,2,6123,油資,5.00,1,
3233,2021/8/2 上午 12:00:00,WF20210802001,2,6123,8月份office365,19.00,1,
3236,2021/8/4 上午 12:00:00,WF20210804001,2,6123,8月份業務支出,52.00,1,
3212,2021/8/7 上午 12:00:00,WF20210807001,2,6123,油資,5.00,1,
3220,2021/8/17 上午 12:00:00,WF20210817001,2,6123,8月份郵電費,32.00,1,
3215,2021/8/19 上午 12:00:00,WF20210819001,2,6123,油資,5.00,1,
3240,2021/8/23 上午 12:00:00,WF20210823001,2,6123,公司行銷業務補貼行動費用,34.00,1,
3661,2021/9/1 上午 12:00:00,WF20210901001,2,6123,110-08-07-無糖烏龍茶,54.00,1,
3662,2021/9/1 上午 12:00:00,WF20210901001,3,6123,110-08-07-無糖烏龍茶,1140.00,2,
3664,2021/9/2 上午 12:00:00,WF20210902001,2,6123,Office365,19.00,1,
3667,2021/9/8 上午 12:00:00,WF20210908001,2,6123,32吋電視,238.00,1,
3674,2021/9/16 上午 12:00:00,WF20210916001,2,6123,電話費,32.00,1,
3677,2021/9/21 上午 12:00:00,WF20210921001,2,6123,停車費,6.00,1,
3682,2021/9/29 上午 12:00:00,WF20210929001,2,6123,電話費,7.00,1,
3685,2021/10/2 上午 12:00:00,WF20211002001,2,6123,Office365,19.00,1,
3688,2021/10/5 上午 12:00:00,WF20211005001,2,6123,油資,7.00,1,
3691,2021/10/11 上午 12:00:00,WF20211011001,2,6123,油資,7.00,1,
3694,2021/10/13 上午 12:00:00,WF20211013001,2,6123,業務支出,34.00,1,
3697,2021/10/18 上午 12:00:00,WF20211018001,2,6123,郵電費,32.00,1,
3700,2021/10/22 上午 12:00:00,WF20211022001,2,6123,郵資,7.00,1,
3703,2021/10/26 上午 12:00:00,WF20211026001,2,6123,電池,2.00,1,
3248,2021/11/1 上午 12:00:00,WF20211101001,2,6123,20211016--油資,7.00,1,
3311,2021/11/2 上午 12:00:00,WF20211102001,2,6123,Office365,19.00,1,
3251,2021/11/3 上午 12:00:00,WF20211103001,2,6123,油資,8.00,1,
3308,2021/11/6 上午 12:00:00,WF20211106001,2,6123,百貨,8.00,1,
3323,2021/11/6 上午 12:00:00,WF20211106002,2,6123,負責人電話津貼,34.00,1,
3305,2021/11/7 上午 12:00:00,WF20211107001,2,6123,百貨,3.00,1,
3254,2021/11/12 上午 12:00:00,WF20211112001,2,6123,油資,7.00,1,
3302,2021/11/14 上午 12:00:00,WF20211114001,2,6123,借用汔車百貨,1.00,1,
3317,2021/11/16 上午 12:00:00,WF20211116001,2,6123,郵電費,32.00,1,
3257,2021/11/25 上午 12:00:00,WF20211125001,1,6123,油資,8.00,1,
3260,2021/11/27 上午 12:00:00,WF20211127001,2,6123,汔車油資,14.00,1,
3269,2021/11/27 上午 12:00:00,WF20211127002,2,6123,停車費,4.00,1,
3279,2021/11/27 上午 12:00:00,WF20211127003,2,6123,汔車油資,5.00,1,
3263,2021/11/27 上午 12:00:00,WF20211127004,2,6123,汔車油資,5.00,1,
3266,2021/11/28 上午 12:00:00,WF20211128001,2,6123,汔車油資,22.00,1,
3299,2021/11/28 上午 12:00:00,WF20211128002,2,6123,借用汔車百貨,7.00,1,
3287,2021/12/1 上午 12:00:00,WF20211201001,2,6123,辛勞津貼-餐費,7.00,1,
3314,2021/12/2 上午 12:00:00,WF20211202001,2,6123,Office365,19.00,1,
3290,2021/12/5 上午 12:00:00,WF20211205001,2,6123,停車費,1.00,1,
3293,2021/12/6 上午 12:00:00,WF20211206001,2,6123,停車費-修鎖,1.00,1,
3326,2021/12/6 上午 12:00:00,WF20211206002,2,6123,負責人電話津貼,34.00,1,
3296,2021/12/15 上午 12:00:00,WF20211215002,2,6123,油資,7.00,1,
3320,2021/12/16 上午 12:00:00,WF20211216001,2,6123,郵電費,33.00,1,
3276,2021/12/17 上午 12:00:00,WF20211217001,2,6123,汔車油資,13.00,1,
3282,2021/12/28 上午 12:00:00,WF20211228003,2,6123,油資,6.00,1,
3715,2021/12/31 上午 12:00:00,WF20211231005,1,6166,透過損益按公允價值衡量之金融資產評價調整-流動,49450.00,1,
